NOMBRE REGIÓN  RESIDENCIA HABITUAL ACTUAL,NOMBRE COMUNA RESIDENCIA HABITUAL ACTUAL,GRUPO DE EDAD,TOTAL POBLACIÓN NACIDA FUERA DEL PAÍS
Total General,Total General,Total Gral,784685
Total General,Total General,0 a 4,19373
Total General,Total General,5 a 9,30628
Total General,Total General,10 a 14,31309
Total General,Total General,15 a 19,38998
Total General,Total General,20 a 24,89163
Total General,Total General,25 a 29,129441
Total General,Total General,30 a 34,119610
Total General,Total General,35 a 39,97905
Total General,Total General,40 a 44,71527
Total General,Total General,45 a 49,49746
Total General,Total General,50 a 54,35948
Total General,Total General,55 a 59,24312
Total General,Total General,60 a 64,16201
Total General,Total General,65 a 69,10719
Total General,Total General,70 a 74,7271
Total General,Total General,75 a 79,4734
Total General,Total General,80 a 84,3392
Total General,Total General,85 a 89,2433
Total General,Total General,90 a 94,1333
Total General,Total General,95 a 99,431
Total General,Total General,100 o más,211
ARICA Y PARINACOTA,ARICA,Total Comuna,17561
ARICA Y PARINACOTA,ARICA,0 a 4,398
ARICA Y PARINACOTA,ARICA,5 a 9,705
ARICA Y PARINACOTA,ARICA,10 a 14,799
ARICA Y PARINACOTA,ARICA,15 a 19,958
ARICA Y PARINACOTA,ARICA,20 a 24,1691
ARICA Y PARINACOTA,ARICA,25 a 29,2213
ARICA Y PARINACOTA,ARICA,30 a 34,2326
ARICA Y PARINACOTA,ARICA,35 a 39,2067
ARICA Y PARINACOTA,ARICA,40 a 44,1612
ARICA Y PARINACOTA,ARICA,45 a 49,1208
ARICA Y PARINACOTA,ARICA,50 a 54,914
ARICA Y PARINACOTA,ARICA,55 a 59,674
ARICA Y PARINACOTA,ARICA,60 a 64,516
ARICA Y PARINACOTA,ARICA,65 a 69,484
ARICA Y PARINACOTA,ARICA,70 a 74,436
ARICA Y PARINACOTA,ARICA,75 a 79,283
ARICA Y PARINACOTA,ARICA,80 a 84,146
ARICA Y PARINACOTA,ARICA,85 a 89,86
ARICA Y PARINACOTA,ARICA,90 a 94,28
ARICA Y PARINACOTA,ARICA,95 a 99,10
ARICA Y PARINACOTA,ARICA,100 o más,7
ARICA Y PARINACOTA,CAMARONES,Total Comuna,105
ARICA Y PARINACOTA,CAMARONES,0 a 4,1
ARICA Y PARINACOTA,CAMARONES,5 a 9,3
ARICA Y PARINACOTA,CAMARONES,10 a 14,2
ARICA Y PARINACOTA,CAMARONES,15 a 19,4
ARICA Y PARINACOTA,CAMARONES,20 a 24,14
ARICA Y PARINACOTA,CAMARONES,25 a 29,10
ARICA Y PARINACOTA,CAMARONES,30 a 34,12
ARICA Y PARINACOTA,CAMARONES,35 a 39,9
ARICA Y PARINACOTA,CAMARONES,40 a 44,11
ARICA Y PARINACOTA,CAMARONES,45 a 49,10
ARICA Y PARINACOTA,CAMARONES,50 a 54,9
ARICA Y PARINACOTA,CAMARONES,55 a 59,5
ARICA Y PARINACOTA,CAMARONES,60 a 64,4
ARICA Y PARINACOTA,CAMARONES,65 a 69,5
ARICA Y PARINACOTA,CAMARONES,70 a 74,1
ARICA Y PARINACOTA,CAMARONES,75 a 79,2
ARICA Y PARINACOTA,CAMARONES,80 a 84,1
ARICA Y PARINACOTA,CAMARONES,85 a 89,2
ARICA Y PARINACOTA,CAMARONES,90 a 94,0
ARICA Y PARINACOTA,CAMARONES,95 a 99,0
ARICA Y PARINACOTA,CAMARONES,100 o más,0
ARICA Y PARINACOTA,PUTRE,Total Comuna,259
ARICA Y PARINACOTA,PUTRE,0 a 4,7
ARICA Y PARINACOTA,PUTRE,5 a 9,14
ARICA Y PARINACOTA,PUTRE,10 a 14,16
ARICA Y PARINACOTA,PUTRE,15 a 19,18
ARICA Y PARINACOTA,PUTRE,20 a 24,36
ARICA Y PARINACOTA,PUTRE,25 a 29,25
ARICA Y PARINACOTA,PUTRE,30 a 34,35
ARICA Y PARINACOTA,PUTRE,35 a 39,24
ARICA Y PARINACOTA,PUTRE,40 a 44,32
ARICA Y PARINACOTA,PUTRE,45 a 49,10
ARICA Y PARINACOTA,PUTRE,50 a 54,8
ARICA Y PARINACOTA,PUTRE,55 a 59,10
ARICA Y PARINACOTA,PUTRE,60 a 64,6
ARICA Y PARINACOTA,PUTRE,65 a 69,4
ARICA Y PARINACOTA,PUTRE,70 a 74,4
ARICA Y PARINACOTA,PUTRE,75 a 79,4
ARICA Y PARINACOTA,PUTRE,80 a 84,3
ARICA Y PARINACOTA,PUTRE,85 a 89,2
ARICA Y PARINACOTA,PUTRE,90 a 94,0
ARICA Y PARINACOTA,PUTRE,95 a 99,1
ARICA Y PARINACOTA,PUTRE,100 o más,0
ARICA Y PARINACOTA,GENERAL LAGOS,Total Comuna,85
ARICA Y PARINACOTA,GENERAL LAGOS,0 a 4,7
ARICA Y PARINACOTA,GENERAL LAGOS,5 a 9,4
ARICA Y PARINACOTA,GENERAL LAGOS,10 a 14,7
ARICA Y PARINACOTA,GENERAL LAGOS,15 a 19,4
ARICA Y PARINACOTA,GENERAL LAGOS,20 a 24,5
ARICA Y PARINACOTA,GENERAL LAGOS,25 a 29,5
ARICA Y PARINACOTA,GENERAL LAGOS,30 a 34,8
ARICA Y PARINACOTA,GENERAL LAGOS,35 a 39,13
ARICA Y PARINACOTA,GENERAL LAGOS,40 a 44,10
ARICA Y PARINACOTA,GENERAL LAGOS,45 a 49,3
ARICA Y PARINACOTA,GENERAL LAGOS,50 a 54,4
ARICA Y PARINACOTA,GENERAL LAGOS,55 a 59,4
ARICA Y PARINACOTA,GENERAL LAGOS,60 a 64,6
ARICA Y PARINACOTA,GENERAL LAGOS,65 a 69,4
ARICA Y PARINACOTA,GENERAL LAGOS,70 a 74,1
ARICA Y PARINACOTA,GENERAL LAGOS,75 a 79,0
ARICA Y PARINACOTA,GENERAL LAGOS,80 a 84,0
ARICA Y PARINACOTA,GENERAL LAGOS,85 a 89,0
ARICA Y PARINACOTA,GENERAL LAGOS,90 a 94,0
ARICA Y PARINACOTA,GENERAL LAGOS,95 a 99,0
ARICA Y PARINACOTA,GENERAL LAGOS,100 o más,0
TARAPACÁ,IQUIQUE,Total Comuna,27898
TARAPACÁ,IQUIQUE,0 a 4,699
TARAPACÁ,IQUIQUE,5 a 9,1251
TARAPACÁ,IQUIQUE,10 a 14,1349
TARAPACÁ,IQUIQUE,15 a 19,1512
TARAPACÁ,IQUIQUE,20 a 24,3391
TARAPACÁ,IQUIQUE,25 a 29,4634
TARAPACÁ,IQUIQUE,30 a 34,4118
TARAPACÁ,IQUIQUE,35 a 39,3359
TARAPACÁ,IQUIQUE,40 a 44,2580
TARAPACÁ,IQUIQUE,45 a 49,1894
TARAPACÁ,IQUIQUE,50 a 54,1347
TARAPACÁ,IQUIQUE,55 a 59,780
TARAPACÁ,IQUIQUE,60 a 64,449
TARAPACÁ,IQUIQUE,65 a 69,237
TARAPACÁ,IQUIQUE,70 a 74,132
TARAPACÁ,IQUIQUE,75 a 79,68
TARAPACÁ,IQUIQUE,80 a 84,47
TARAPACÁ,IQUIQUE,85 a 89,23
TARAPACÁ,IQUIQUE,90 a 94,15
TARAPACÁ,IQUIQUE,95 a 99,9
TARAPACÁ,IQUIQUE,100 o más,4
TARAPACÁ,ALTO HOSPICIO,Total Comuna,12461
TARAPACÁ,ALTO HOSPICIO,0 a 4,361
TARAPACÁ,ALTO HOSPICIO,5 a 9,607
TARAPACÁ,ALTO HOSPICIO,10 a 14,738
TARAPACÁ,ALTO HOSPICIO,15 a 19,867
TARAPACÁ,ALTO HOSPICIO,20 a 24,1513
TARAPACÁ,ALTO HOSPICIO,25 a 29,1830
TARAPACÁ,ALTO HOSPICIO,30 a 34,1621
TARAPACÁ,ALTO HOSPICIO,35 a 39,1516
TARAPACÁ,ALTO HOSPICIO,40 a 44,1187
TARAPACÁ,ALTO HOSPICIO,45 a 49,892
TARAPACÁ,ALTO HOSPICIO,50 a 54,561
TARAPACÁ,ALTO HOSPICIO,55 a 59,325
TARAPACÁ,ALTO HOSPICIO,60 a 64,193
TARAPACÁ,ALTO HOSPICIO,65 a 69,118
TARAPACÁ,ALTO HOSPICIO,70 a 74,62
TARAPACÁ,ALTO HOSPICIO,75 a 79,33
TARAPACÁ,ALTO HOSPICIO,80 a 84,21
TARAPACÁ,ALTO HOSPICIO,85 a 89,4
TARAPACÁ,ALTO HOSPICIO,90 a 94,6
TARAPACÁ,ALTO HOSPICIO,95 a 99,2
TARAPACÁ,ALTO HOSPICIO,100 o más,4
TARAPACÁ,POZO ALMONTE,Total Comuna,1721
TARAPACÁ,POZO ALMONTE,0 a 4,56
TARAPACÁ,POZO ALMONTE,5 a 9,105
TARAPACÁ,POZO ALMONTE,10 a 14,107
TARAPACÁ,POZO ALMONTE,15 a 19,112
TARAPACÁ,POZO ALMONTE,20 a 24,199
TARAPACÁ,POZO ALMONTE,25 a 29,244
TARAPACÁ,POZO ALMONTE,30 a 34,260
TARAPACÁ,POZO ALMONTE,35 a 39,179
TARAPACÁ,POZO ALMONTE,40 a 44,175
TARAPACÁ,POZO ALMONTE,45 a 49,97
TARAPACÁ,POZO ALMONTE,50 a 54,72
TARAPACÁ,POZO ALMONTE,55 a 59,32
TARAPACÁ,POZO ALMONTE,60 a 64,35
TARAPACÁ,POZO ALMONTE,65 a 69,19
TARAPACÁ,POZO ALMONTE,70 a 74,13
TARAPACÁ,POZO ALMONTE,75 a 79,11
TARAPACÁ,POZO ALMONTE,80 a 84,1
TARAPACÁ,POZO ALMONTE,85 a 89,3
TARAPACÁ,POZO ALMONTE,90 a 94,1
TARAPACÁ,POZO ALMONTE,95 a 99,0
TARAPACÁ,POZO ALMONTE,100 o más,0
TARAPACÁ,CAMIÑA,Total Comuna,176
TARAPACÁ,CAMIÑA,0 a 4,7
TARAPACÁ,CAMIÑA,5 a 9,4
TARAPACÁ,CAMIÑA,10 a 14,4
TARAPACÁ,CAMIÑA,15 a 19,12
TARAPACÁ,CAMIÑA,20 a 24,26
TARAPACÁ,CAMIÑA,25 a 29,31
TARAPACÁ,CAMIÑA,30 a 34,27
TARAPACÁ,CAMIÑA,35 a 39,13
TARAPACÁ,CAMIÑA,40 a 44,12
TARAPACÁ,CAMIÑA,45 a 49,11
TARAPACÁ,CAMIÑA,50 a 54,12
TARAPACÁ,CAMIÑA,55 a 59,4
TARAPACÁ,CAMIÑA,60 a 64,3
TARAPACÁ,CAMIÑA,65 a 69,5
TARAPACÁ,CAMIÑA,70 a 74,1
TARAPACÁ,CAMIÑA,75 a 79,0
TARAPACÁ,CAMIÑA,80 a 84,1
TARAPACÁ,CAMIÑA,85 a 89,2
TARAPACÁ,CAMIÑA,90 a 94,1
TARAPACÁ,CAMIÑA,95 a 99,0
TARAPACÁ,CAMIÑA,100 o más,0
TARAPACÁ,COLCHANE,Total Comuna,152
TARAPACÁ,COLCHANE,0 a 4,8
TARAPACÁ,COLCHANE,5 a 9,5
TARAPACÁ,COLCHANE,10 a 14,3
TARAPACÁ,COLCHANE,15 a 19,17
TARAPACÁ,COLCHANE,20 a 24,17
TARAPACÁ,COLCHANE,25 a 29,19
TARAPACÁ,COLCHANE,30 a 34,17
TARAPACÁ,COLCHANE,35 a 39,23
TARAPACÁ,COLCHANE,40 a 44,11
TARAPACÁ,COLCHANE,45 a 49,9
TARAPACÁ,COLCHANE,50 a 54,11
TARAPACÁ,COLCHANE,55 a 59,2
TARAPACÁ,COLCHANE,60 a 64,6
TARAPACÁ,COLCHANE,65 a 69,2
TARAPACÁ,COLCHANE,70 a 74,1
