Región,Comuna,País o continente de nacimiento,Inmigrantes internacionales
País,País,Total nacidos fuera del país,1608650.0
País,País,Argentina,70266.0
País,País,Bolivia (Estado Plurinacional de),168083.0
País,País,Colombia,197813.0
País,País,Haití,80781.0
País,País,Perú,233432.0
País,País,Venezuela (República Bolivariana de),669408.0
País,País,Otros países de América del Sur,78860.0
País,País,Otros países de América Central y El Caribe,40559.0
País,País,América del Norte,11329.0
País,País,Europa,33563.0
País,País,Asia,20047.0
País,País,África,1580.0
País,País,Oceanía,1477.0
País,País,País de nacimiento no declarado,1452.0
Arica y Parinacota,Arica,Total nacidos fuera del país,35592.0
Arica y Parinacota,Arica,Argentina,341.0
Arica y Parinacota,Arica,Bolivia (Estado Plurinacional de),13677.0
Arica y Parinacota,Arica,Colombia,1968.0
Arica y Parinacota,Arica,Haití,22.0
Arica y Parinacota,Arica,Perú,11206.0
Arica y Parinacota,Arica,Venezuela (República Bolivariana de),6597.0
Arica y Parinacota,Arica,Otros países de América del Sur,897.0
Arica y Parinacota,Arica,Otros países de América Central y El Caribe,467.0
Arica y Parinacota,Arica,América del Norte,67.0
Arica y Parinacota,Arica,Europa,236.0
Arica y Parinacota,Arica,Asia,80.0
Arica y Parinacota,Arica,África,9.0
Arica y Parinacota,Arica,Oceanía,10.0
Arica y Parinacota,Arica,País de nacimiento no declarado,15.0
Arica y Parinacota,Camarones,Total nacidos fuera del país,101.0
Arica y Parinacota,Camarones,Argentina,0.0
Arica y Parinacota,Camarones,Bolivia (Estado Plurinacional de),70.0
Arica y Parinacota,Camarones,Colombia,1.0
Arica y Parinacota,Camarones,Haití,0.0
Arica y Parinacota,Camarones,Perú,23.0
Arica y Parinacota,Camarones,Venezuela (República Bolivariana de),4.0
Arica y Parinacota,Camarones,Otros países de América del Sur,0.0
Arica y Parinacota,Camarones,Otros países de América Central y El Caribe,2.0
Arica y Parinacota,Camarones,América del Norte,1.0
Arica y Parinacota,Camarones,Europa,0.0
Arica y Parinacota,Camarones,Asia,0.0
Arica y Parinacota,Camarones,África,0.0
Arica y Parinacota,Camarones,Oceanía,0.0
Arica y Parinacota,Camarones,País de nacimiento no declarado,0.0
Arica y Parinacota,Putre,Total nacidos fuera del país,362.0
Arica y Parinacota,Putre,Argentina,1.0
Arica y Parinacota,Putre,Bolivia (Estado Plurinacional de),307.0
Arica y Parinacota,Putre,Colombia,0.0
Arica y Parinacota,Putre,Haití,0.0
Arica y Parinacota,Putre,Perú,46.0
Arica y Parinacota,Putre,Venezuela (República Bolivariana de),6.0
Arica y Parinacota,Putre,Otros países de América del Sur,0.0
Arica y Parinacota,Putre,Otros países de América Central y El Caribe,0.0
Arica y Parinacota,Putre,América del Norte,0.0
Arica y Parinacota,Putre,Europa,0.0
Arica y Parinacota,Putre,Asia,0.0
Arica y Parinacota,Putre,África,0.0
Arica y Parinacota,Putre,Oceanía,1.0
Arica y Parinacota,Putre,País de nacimiento no declarado,1.0
Arica y Parinacota,General Lagos,Total nacidos fuera del país,133.0
Arica y Parinacota,General Lagos,Argentina,0.0
Arica y Parinacota,General Lagos,Bolivia (Estado Plurinacional de),111.0
Arica y Parinacota,General Lagos,Colombia,0.0
Arica y Parinacota,General Lagos,Haití,0.0
Arica y Parinacota,General Lagos,Perú,20.0
Arica y Parinacota,General Lagos,Venezuela (República Bolivariana de),0.0
Arica y Parinacota,General Lagos,Otros países de América del Sur,2.0
Arica y Parinacota,General Lagos,Otros países de América Central y El Caribe,0.0
Arica y Parinacota,General Lagos,América del Norte,0.0
Arica y Parinacota,General Lagos,Europa,0.0
Arica y Parinacota,General Lagos,Asia,0.0
Arica y Parinacota,General Lagos,África,0.0
Arica y Parinacota,General Lagos,Oceanía,0.0
Arica y Parinacota,General Lagos,País de nacimiento no declarado,0.0
Tarapacá,Iquique,Total nacidos fuera del país,40655.0
