NOMBRE REGIÓN,NOMBRE COMUNA,EDAD,TOTAL POBLACIÓN EFECTIVAMENTE CENSADA
PAÍS,PAÍS,Total País,17574003
PAÍS,PAÍS,0,214682
PAÍS,PAÍS,1,236356
PAÍS,PAÍS,2,240792
PAÍS,PAÍS,3,235383
PAÍS,PAÍS,4,238933
PAÍS,PAÍS,5,238867
PAÍS,PAÍS,6,247819
PAÍS,PAÍS,7,246261
PAÍS,PAÍS,8,241525
PAÍS,PAÍS,9,235717
PAÍS,PAÍS,10,230340
PAÍS,PAÍS,11,228005
PAÍS,PAÍS,12,225539
PAÍS,PAÍS,13,227584
PAÍS,PAÍS,14,235947
PAÍS,PAÍS,15,239492
PAÍS,PAÍS,16,247940
PAÍS,PAÍS,17,247973
PAÍS,PAÍS,18,252631
PAÍS,PAÍS,19,256661
PAÍS,PAÍS,20,266595
PAÍS,PAÍS,21,269613
PAÍS,PAÍS,22,280114
PAÍS,PAÍS,23,281880
PAÍS,PAÍS,24,289620
PAÍS,PAÍS,25,293441
PAÍS,PAÍS,26,301401
PAÍS,PAÍS,27,304756
PAÍS,PAÍS,28,293416
PAÍS,PAÍS,29,281136
PAÍS,PAÍS,30,272500
PAÍS,PAÍS,31,261597
PAÍS,PAÍS,32,253829
PAÍS,PAÍS,33,247922
PAÍS,PAÍS,34,257789
PAÍS,PAÍS,35,264459
PAÍS,PAÍS,36,245750
PAÍS,PAÍS,37,241415
PAÍS,PAÍS,38,230440
PAÍS,PAÍS,39,225713
PAÍS,PAÍS,40,228977
PAÍS,PAÍS,41,235610
PAÍS,PAÍS,42,242736
PAÍS,PAÍS,43,247354
PAÍS,PAÍS,44,243826
PAÍS,PAÍS,45,239139
PAÍS,PAÍS,46,231436
PAÍS,PAÍS,47,225484
PAÍS,PAÍS,48,229509
PAÍS,PAÍS,49,235195
PAÍS,PAÍS,50,236498
PAÍS,PAÍS,51,236665
PAÍS,PAÍS,52,239549
PAÍS,PAÍS,53,234169
PAÍS,PAÍS,54,238073
PAÍS,PAÍS,55,225106
PAÍS,PAÍS,56,218604
PAÍS,PAÍS,57,207028
PAÍS,PAÍS,58,201390
PAÍS,PAÍS,59,195651
PAÍS,PAÍS,60,190156
PAÍS,PAÍS,61,176362
PAÍS,PAÍS,62,165579
PAÍS,PAÍS,63,162475
PAÍS,PAÍS,64,152343
PAÍS,PAÍS,65,142813
PAÍS,PAÍS,66,134518
PAÍS,PAÍS,67,130756
PAÍS,PAÍS,68,124332
PAÍS,PAÍS,69,120583
PAÍS,PAÍS,70,115445
PAÍS,PAÍS,71,109220
PAÍS,PAÍS,72,103538
PAÍS,PAÍS,73,95746
PAÍS,PAÍS,74,91960
PAÍS,PAÍS,75,85360
PAÍS,PAÍS,76,80041
PAÍS,PAÍS,77,74004
PAÍS,PAÍS,78,64602
PAÍS,PAÍS,79,59582
PAÍS,PAÍS,80,56377
PAÍS,PAÍS,81,51839
PAÍS,PAÍS,82,47536
PAÍS,PAÍS,83,42798
PAÍS,PAÍS,84,40896
PAÍS,PAÍS,85,36919
PAÍS,PAÍS,86,35937
PAÍS,PAÍS,87,30886
PAÍS,PAÍS,88,25514
PAÍS,PAÍS,89,22545
PAÍS,PAÍS,90,17396
PAÍS,PAÍS,91,13561
PAÍS,PAÍS,92,11842
PAÍS,PAÍS,93,8787
PAÍS,PAÍS,94,7297
PAÍS,PAÍS,95,5223
PAÍS,PAÍS,96,4270
PAÍS,PAÍS,97,2835
PAÍS,PAÍS,98,1999
PAÍS,PAÍS,99,1529
PAÍS,PAÍS,100 o más,4770
ARICA Y PARINACOTA,ARICA,Total Comuna,221364
ARICA Y PARINACOTA,ARICA,0,2802
ARICA Y PARINACOTA,ARICA,1,3084
ARICA Y PARINACOTA,ARICA,2,3339
ARICA Y PARINACOTA,ARICA,3,3347
ARICA Y PARINACOTA,ARICA,4,3321
ARICA Y PARINACOTA,ARICA,5,3450
ARICA Y PARINACOTA,ARICA,6,3581
ARICA Y PARINACOTA,ARICA,7,3474
ARICA Y PARINACOTA,ARICA,8,3298
ARICA Y PARINACOTA,ARICA,9,3241
ARICA Y PARINACOTA,ARICA,10,3148
ARICA Y PARINACOTA,ARICA,11,3165
ARICA Y PARINACOTA,ARICA,12,3118
ARICA Y PARINACOTA,ARICA,13,3080
ARICA Y PARINACOTA,ARICA,14,3215
ARICA Y PARINACOTA,ARICA,15,3115
ARICA Y PARINACOTA,ARICA,16,3304
ARICA Y PARINACOTA,ARICA,17,3429
ARICA Y PARINACOTA,ARICA,18,3646
ARICA Y PARINACOTA,ARICA,19,3682
ARICA Y PARINACOTA,ARICA,20,3649
ARICA Y PARINACOTA,ARICA,21,3647
ARICA Y PARINACOTA,ARICA,22,3612
ARICA Y PARINACOTA,ARICA,23,3579
ARICA Y PARINACOTA,ARICA,24,3556
ARICA Y PARINACOTA,ARICA,25,3726
ARICA Y PARINACOTA,ARICA,26,3631
ARICA Y PARINACOTA,ARICA,27,3660
ARICA Y PARINACOTA,ARICA,28,3606
ARICA Y PARINACOTA,ARICA,29,3551
ARICA Y PARINACOTA,ARICA,30,3457
ARICA Y PARINACOTA,ARICA,31,3323
ARICA Y PARINACOTA,ARICA,32,3338
ARICA Y PARINACOTA,ARICA,33,3085
ARICA Y PARINACOTA,ARICA,34,3295
ARICA Y PARINACOTA,ARICA,35,3255
ARICA Y PARINACOTA,ARICA,36,3056
ARICA Y PARINACOTA,ARICA,37,3009
ARICA Y PARINACOTA,ARICA,38,2914
ARICA Y PARINACOTA,ARICA,39,2816
ARICA Y PARINACOTA,ARICA,40,2876
ARICA Y PARINACOTA,ARICA,41,2748
ARICA Y PARINACOTA,ARICA,42,2959
ARICA Y PARINACOTA,ARICA,43,3079
ARICA Y PARINACOTA,ARICA,44,3088
ARICA Y PARINACOTA,ARICA,45,2944
ARICA Y PARINACOTA,ARICA,46,3006
ARICA Y PARINACOTA,ARICA,47,2724
ARICA Y PARINACOTA,ARICA,48,2599
ARICA Y PARINACOTA,ARICA,49,2547
ARICA Y PARINACOTA,ARICA,50,2638
ARICA Y PARINACOTA,ARICA,51,2569
ARICA Y PARINACOTA,ARICA,52,2651
ARICA Y PARINACOTA,ARICA,53,2624
ARICA Y PARINACOTA,ARICA,54,2841
ARICA Y PARINACOTA,ARICA,55,2465
ARICA Y PARINACOTA,ARICA,56,2369
