Región de residencia habitual actual,Comuna de residencia habitual actual,Población censada
País,País,18480432.0
Arica y Parinacota,Arica,241653.0
Arica y Parinacota,Camarones,861.0
Arica y Parinacota,Putre,1547.0
Arica y Parinacota,General Lagos,508.0
Tarapacá,Iquique,199587.0
Tarapacá,Alto Hospicio,142086.0
Tarapacá,Pozo Almonte,16878.0
Tarapacá,Camiña,1335.0
Tarapacá,Colchane,790.0
Tarapacá,Huara,2858.0
Tarapacá,Pica,6272.0
Antofagasta,Antofagasta,401096.0
Antofagasta,Mejillones,14084.0
Antofagasta,Sierra Gorda,1472.0
Antofagasta,Taltal,12097.0
Antofagasta,Calama,166334.0
Antofagasta,Ollagüe,256.0
Antofagasta,San Pedro de Atacama,9843.0
Antofagasta,Tocopilla,25400.0
Antofagasta,María Elena,4834.0
Atacama,Copiapó,168831.0
Atacama,Caldera,18805.0
Atacama,Tierra Amarilla,11846.0
Atacama,Chañaral,12345.0
Atacama,Diego de Almagro,11397.0
Atacama,Vallenar,54222.0
Atacama,Alto del Carmen,4788.0
Atacama,Freirina,7577.0
Atacama,Huasco,9369.0
Coquimbo,La Serena,250141.0
Coquimbo,Coquimbo,263719.0
Coquimbo,Andacollo,11566.0
Coquimbo,La Higuera,4335.0
Coquimbo,Paihuano,4649.0
Coquimbo,Vicuña,28047.0
Coquimbo,Illapel,32009.0
Coquimbo,Canela,9639.0
Coquimbo,Los Vilos,22879.0
Coquimbo,Salamanca,27823.0
Coquimbo,Ovalle,118696.0
Coquimbo,Combarbalá,12954.0
Coquimbo,Monte Patria,29997.0
Coquimbo,Punitaqui,12076.0
Coquimbo,Río Hurtado,4334.0
Valparaíso,Valparaíso,284938.0
Valparaíso,Casablanca,29876.0
Valparaíso,Concón,48294.0
Valparaíso,Juan Fernández,904.0
Valparaíso,Puchuncaví,22539.0
Valparaíso,Quintero,35754.0
Valparaíso,Viña del Mar,334871.0
Valparaíso,Isla de Pascua,4800.0
Valparaíso,Los Andes,63440.0
Valparaíso,Calle Larga,16597.0
Valparaíso,Rinconada,11855.0
Valparaíso,San Esteban,20112.0
Valparaíso,La Ligua,39270.0
Valparaíso,Cabildo,20015.0
Valparaíso,Papudo,7561.0
Valparaíso,Petorca,10206.0
Valparaíso,Zapallar,7980.0
Valparaíso,Quillota,96753.0
Valparaíso,Calera,50631.0
Valparaíso,Hijuelas,19286.0
Valparaíso,La Cruz,24939.0
Valparaíso,Nogales,22136.0
Valparaíso,San Antonio,96770.0
Valparaíso,Algarrobo,16076.0
Valparaíso,Cartagena,24599.0
Valparaíso,El Quisco,18971.0
Valparaíso,El Tabo,16260.0
Valparaíso,Santo Domingo,13171.0
Valparaíso,San Felipe,80413.0
Valparaíso,Catemu,13760.0
Valparaíso,Llaillay,25484.0
Valparaíso,Panquehue,7269.0
Valparaíso,Putaendo,17336.0
Valparaíso,Santa María,15134.0
Valparaíso,Quilpué,162559.0
Valparaíso,Limache,56145.0
Valparaíso,Olmué,19778.0
Valparaíso,Villa Alemana,139571.0
Metropolitana de Santiago,Santiago,438856.0
Metropolitana de Santiago,Cerrillos,85041.0
Metropolitana de Santiago,Cerro Navia,127250.0
Metropolitana de Santiago,Conchalí,121587.0
Metropolitana de Santiago,El Bosque,155257.0
Metropolitana de Santiago,Estación Central,181049.0
Metropolitana de Santiago,Huechuraba,101808.0
Metropolitana de Santiago,Independencia,116943.0
Metropolitana de Santiago,La Cisterna,103157.0
Metropolitana de Santiago,La Florida,374836.0
Metropolitana de Santiago,La Granja,112022.0
Metropolitana de Santiago,La Pintana,175421.0
Metropolitana de Santiago,La Reina,89870.0
Metropolitana de Santiago,Las Condes,296134.0
Metropolitana de Santiago,Lo Barnechea,112620.0
Metropolitana de Santiago,Lo Espejo,87295.0
Metropolitana de Santiago,Lo Prado,91290.0
Metropolitana de Santiago,Macul,123800.0
Metropolitana de Santiago,Maipú,503635.0
