id_hogar,region,estrato,edad,alfabetismo,asiste_actualmente,razon_no_asistencia,ultimo_año_asistencia,nivel_educacion,curso,jefe_hogar,año
1410110010201.0,14,141011,40,1,2,,,12.0,3,1,2017
1410110010201.0,14,141011,45,1,2,,,12.0,3,0,2017
1410110010201.0,14,141011,79,1,2,,,6.0,2,0,2017
1410110020101.0,14,141011,41,1,2,,,9.0,4,1,2017
1410110020101.0,14,141011,6,,1,,,4.0,,0,2017
1410110020101.0,14,141011,2,,1,,,2.0,,0,2017
1410110020201.0,14,141011,28,1,1,,,13.0,4,1,2017
1410110020301.0,14,141011,44,1,2,,,12.0,3,1,2017
1410110020301.0,14,141011,9,,1,,,7.0,4,0,2017
1410110020301.0,14,141011,20,1,1,,,9.0,3,0,2017
1410110020401.0,14,141011,32,1,2,,,9.0,4,1,2017
1410110020401.0,14,141011,35,1,2,,,7.0,8,0,2017
1410110020401.0,14,141011,13,,1,,,7.0,7,0,2017
1410110020401.0,14,141011,3,,1,,,3.0,,0,2017
1410110020501.0,14,141011,51,1,2,,,11.0,5,1,2017
1410110020501.0,14,141011,36,1,2,,,9.0,3,0,2017
1410110020601.0,14,141011,42,1,2,,,9.0,4,1,2017
1410110020601.0,14,141011,49,1,2,,,9.0,4,0,2017
1410110020601.0,14,141011,22,1,2,12,4,12.0,3,0,2017
1410110020601.0,14,141011,18,1,2,17,1,11.0,4,0,2017
1410110020601.0,14,141011,17,1,1,,,9.0,4,0,2017
1410110020601.0,14,141011,7,,1,,,7.0,1,0,2017
1410110020701.0,14,141011,38,1,2,,,9.0,4,1,2017
1410110020701.0,14,141011,18,1,1,,,9.0,3,0,2017
1410110020701.0,14,141011,14,,1,,,7.0,8,0,2017
1410110020701.0,14,141011,11,,1,,,7.0,5,0,2017
1410110020801.0,14,141011,21,1,1,,,13.0,4,1,2017
1410110020901.0,14,141011,59,1,2,,,9.0,4,1,2017
1410110021001.0,14,141011,66,1,2,,,9.0,4,1,2017
1410110021001.0,14,141011,64,1,2,,,13.0,5,0,2017
1410110021001.0,14,141011,36,1,2,,,13.0,5,0,2017
1410110021001.0,14,141011,34,1,2,,,13.0,5,0,2017
1410110021001.0,14,141011,32,1,1,,,13.0,4,0,2017
1410110021001.0,14,141011,27,1,2,7,4,13.0,5,0,2017
1410110021101.0,14,141011,40,1,2,,,12.0,3,1,2017
1410110021101.0,14,141011,12,,1,,,7.0,6,0,2017
1410110021101.0,14,141011,9,,1,,,7.0,3,0,2017
1410110021102.0,14,141011,66,1,2,,,9.0,4,1,2017
1410110021102.0,14,141011,66,1,2,,,13.0,3,0,2017
1410110021102.0,14,141011,29,1,2,12,4,9.0,4,0,2017
1410110021401.0,14,141011,29,1,2,12,9,13.0,2,1,2017
1410110021401.0,14,141011,34,1,2,,,,99,0,2017
1410110021401.0,14,141011,17,1,1,,,9.0,2,0,2017
1410110021401.0,14,141011,14,,1,,,7.0,8,0,2017
1410110021401.0,14,141011,12,,1,,,7.0,6,0,2017
1410110021401.0,14,141011,10,,1,,,7.0,3,0,2017
1410110021401.0,14,141011,8,,1,,,7.0,2,0,2017
1410110021501.0,14,141011,50,1,2,,,,99,1,2017
1410110021501.0,14,141011,23,1,1,,,13.0,1,0,2017
1410110021501.0,14,141011,17,1,1,,,9.0,3,0,2017
1410110021501.0,14,141011,8,,1,,,7.0,2,0,2017
1410110021501.0,14,141011,3,,1,,,3.0,,0,2017
1410110021701.0,14,141011,53,1,2,,,15.0,7,1,2017
1410110021701.0,14,141011,53,1,2,,,13.0,5,0,2017
1410110021701.0,14,141011,22,1,1,,,13.0,4,0,2017
1410110021701.0,14,141011,21,1,1,,,13.0,3,0,2017
1410110021801.0,14,141011,69,1,2,,,10.0,5,1,2017
1410110021801.0,14,141011,53,1,2,,,12.0,1,0,2017
1410110021901.0,14,141011,76,1,2,,,8.0,6,1,2017
1410110022001.0,14,141011,85,1,2,,,6.0,3,1,2017
1410110022101.0,14,141011,23,1,2,7,9,12.0,3,1,2017
1410110022101.0,14,141011,14,,1,,,9.0,1,0,2017
1410110022101.0,14,141011,0,,1,,,2.0,,0,2017
1410110022201.0,14,141011,76,1,2,,,13.0,4,1,2017
1410110022201.0,14,141011,78,1,2,,,8.0,5,0,2017
1410110022401.0,14,141011,55,1,2,,,9.0,2,1,2017
1410110030101.0,14,141011,65,1,2,,,10.0,5,1,2017
1410110030101.0,14,141011,26,1,1,,,13.0,3,0,2017
1410110030201.0,14,141011,36,1,2,,,13.0,5,1,2017
1410110030201.0,14,141011,42,1,2,,,13.0,5,0,2017
1410110030201.0,14,141011,12,,1,,,7.0,5,0,2017
1410110030201.0,14,141011,2,,2,,,1.0,,0,2017
1410110030301.0,14,141011,42,1,2,,,13.0,5,1,2017
1410110030301.0,14,141011,40,1,2,,,13.0,5,0,2017
1410110030301.0,14,141011,69,1,2,,,11.0,4,0,2017
1410110030601.0,14,141011,81,1,2,,,13.0,5,1,2017
1410110030601.0,14,141011,54,1,2,,,13.0,5,0,2017
1410110030701.0,14,141011,30,1,2,12,4,9.0,4,1,2017
1410110030701.0,14,141011,23,1,2,2,4,9.0,4,0,2017
1410110030701.0,14,141011,4,,1,,,3.0,,0,2017
1410110030801.0,14,141011,52,1,2,,,12.0,3,1,2017
1410110030801.0,14,141011,49,1,2,,,9.0,4,0,2017
1410110030901.0,14,141011,56,1,2,,,9.0,4,1,2017
1410110030901.0,14,141011,22,1,2,7,3,9.0,4,0,2017
1410110030901.0,14,141011,20,1,2,7,3,9.0,4,0,2017
1410110030901.0,14,141011,3,,2,,,1.0,,0,2017
1410110031001.0,14,141011,74,1,2,,,6.0,6,1,2017
1410110031101.0,14,141011,58,1,2,,,9.0,4,1,2017
1410110031101.0,14,141011,46,1,2,,,9.0,4,0,2017
1410110031101.0,14,141011,22,1,1,,,13.0,2,0,2017
1410110031101.0,14,141011,15,1,1,,,11.0,2,0,2017
1410110031201.0,14,141011,57,1,2,,,7.0,6,1,2017
1410110031201.0,14,141011,51,1,2,,,7.0,3,0,2017
1410110031301.0,14,141011,47,1,2,,,12.0,3,1,2017
1410110031301.0,14,141011,47,1,2,,,9.0,4,0,2017
1410110031301.0,14,141011,28,1,1,,,14.0,7,0,2017
1410110031301.0,14,141011,25,1,2,12,4,9.0,4,0,2017
1410110031401.0,14,141011,42,1,2,,,12.0,2,1,2017
1410110031401.0,14,141011,32,1,2,,,13.0,2,0,2017
1410110031401.0,14,141011,11,,1,,,7.0,6,0,2017
1410110031401.0,14,141011,8,,1,,,7.0,2,0,2017
1410110031401.0,14,141011,3,,1,,,3.0,,0,2017
1410110040101.0,14,141011,31,1,2,,,9.0,4,1,2017
1410110040101.0,14,141011,30,1,2,12,4,12.0,2,0,2017
1410110040101.0,14,141011,8,,1,,,7.0,3,0,2017
1410110040101.0,14,141011,1,,1,,,2.0,,0,2017
1410110040301.0,14,141011,34,1,2,,,13.0,5,1,2017
1410110040501.0,14,141011,38,1,2,,,9.0,4,1,2017
1410110040501.0,14,141011,40,1,2,,,9.0,3,0,2017
1410110040501.0,14,141011,18,1,1,,,9.0,3,0,2017
1410110040501.0,14,141011,7,,1,,,7.0,2,0,2017
1410110040601.0,14,141011,37,1,2,,,9.0,4,1,2017
1410110040601.0,14,141011,72,1,2,,,7.0,2,0,2017
1410110040601.0,14,141011,17,1,1,,,9.0,3,0,2017
1410110040601.0,14,141011,12,,1,,,7.0,7,0,2017
1410110040601.0,14,141011,10,,1,,,7.0,5,0,2017
