comuna,tipo_servicio,valor,fuente,año
Valdivia,carencia_servicios_basicos,11.3,BCN (RSH 2017),2017
Corral,carencia_servicios_basicos,59.1,BCN (RSH 2017),2017
Lanco,carencia_servicios_basicos,19.3,BCN (RSH 2017),2017
Los Lagos,carencia_servicios_basicos,47.7,BCN (RSH 2017),2017
Máfil,carencia_servicios_basicos,31.8,BCN (RSH 2017),2017
Mariquina,carencia_servicios_basicos,35.7,BCN (RSH 2017),2017
Paillaco,carencia_servicios_basicos,21.9,BCN (RSH 2017),2017
Panguipulli,carencia_servicios_basicos,59.6,BCN (RSH 2017),2017
La Unión,carencia_servicios_basicos,30.9,BCN (RSH 2017),2017
Futrono,carencia_servicios_basicos,40.6,BCN (RSH 2017),2017
Lago Ranco,carencia_servicios_basicos,41.5,BCN (RSH 2017),2017
Río Bueno,carencia_servicios_basicos,42.3,BCN (RSH 2017),2017
Valdivia,carencia_servicios_basicos,11.6,BCN (RSH 2024),2024
Corral,carencia_servicios_basicos,52.6,BCN (RSH 2024),2024
Lanco,carencia_servicios_basicos,20.6,BCN (RSH 2024),2024
Los Lagos,carencia_servicios_basicos,45.3,BCN (RSH 2024),2024
Máfil,carencia_servicios_basicos,31.9,BCN (RSH 2024),2024
Mariquina,carencia_servicios_basicos,25.9,BCN (RSH 2024),2024
Paillaco,carencia_servicios_basicos,24.8,BCN (RSH 2024),2024
Panguipulli,carencia_servicios_basicos,53.3,BCN (RSH 2024),2024
La Unión,carencia_servicios_basicos,27.4,BCN (RSH 2024),2024
Futrono,carencia_servicios_basicos,37.4,BCN (RSH 2024),2024
Lago Ranco,carencia_servicios_basicos,34.3,BCN (RSH 2024),2024
Río Bueno,carencia_servicios_basicos,34.6,BCN (RSH 2024),2024
