id,tipo,modalidad,comuna,precio,m2_utiles,ubicacion,dormitorios_estimados,personas_hogar,indice_hacinamiento,f_A,clasificacion,precio_m2
1,casa,arriendo,Valdivia,1100000.0,200.0,"Hernando De Rivera 300 - 600, Valdivia, Sur De Valdivia, Valdivia",10,2.9,0.29,1,Sin hacinamiento,5500.0
2,casa,arriendo,Valdivia,640000.0,73.0,"6W62+5H, Valdivia, Valdivia",3,2.9,0.97,1,Sin hacinamiento,8767.123287671233
3,casa,arriendo,Valdivia,3000000.0,300.0,"Carampangue, Valdivia, Centro De Valdivia, Valdivia",15,2.9,0.19,1,Sin hacinamiento,10000.0
4,casa,arriendo,Valdivia,1350000.0,172.0,"Nebuco 1 - 300, Valdivia, Sur De Valdivia, Valdivia",8,2.9,0.36,1,Sin hacinamiento,7848.837209302325
5,casa,arriendo,Valdivia,2000000.0,170.0,"O'Higgins 234, Valdivia, Centro De Valdivia, Valdivia",8,2.9,0.36,1,Sin hacinamiento,11764.70588235294
6,casa,arriendo,Valdivia,850000.0,114.0,"6W62+5H, Valdivia, Valdivia",5,2.9,0.58,1,Sin hacinamiento,7456.140350877193
7,casa,arriendo,Valdivia,1750000.0,240.0,"Chabelita, Valdivia, Valdivia",12,2.9,0.24,1,Sin hacinamiento,7291.666666666667
8,casa,arriendo,Valdivia,350000.0,65.0,"Chabelita, Valdivia, Valdivia",3,2.9,0.97,1,Sin hacinamiento,5384.615384615385
9,casa,arriendo,Valdivia,1400000.0,260.0,"Frente A Clinica Alemana, Centro De Valdivia, Valdivia",13,2.9,0.22,1,Sin hacinamiento,5384.615384615385
10,casa,arriendo,Valdivia,800000.0,220.0,"Punucapa Alto, Valdivia",11,2.9,0.26,1,Sin hacinamiento,3636.3636363636365
11,casa,arriendo,Valdivia,550000.0,40.0,"Lourdes, Valdivia, Las Animas, Valdivia",2,2.9,1.45,1,Sin hacinamiento,13750.0
12,casa,arriendo,Valdivia,450000.0,60.0,"Lourdes, Valdivia, Las Animas, Valdivia",3,2.9,0.97,1,Sin hacinamiento,7500.0
13,casa,arriendo,Valdivia,3200000.0,205.0,"Los Helechos, 570, Isla Teja, Valdivia",10,2.9,0.29,1,Sin hacinamiento,15609.756097560976
14,casa,arriendo,Valdivia,500000.0,70.0,"Reserva De Calfuco, Valdivia",3,2.9,0.97,1,Sin hacinamiento,7142.857142857143
15,casa,arriendo,Valdivia,1700000.0,140.0,"Lemoniz, 25, Torobayo, Valdivia",7,2.9,0.41,1,Sin hacinamiento,12142.857142857143
16,casa,arriendo,Valdivia,1500000.0,185.0,"Carpe Diem, Valdivia, Chile, Torobayo, Valdivia",9,2.9,0.32,1,Sin hacinamiento,8108.108108108108
17,casa,arriendo,Valdivia,2800000.0,225.0,"Carlos Anwandter 1 - 300, Centro De Valdivia, Valdivia",11,2.9,0.26,1,Sin hacinamiento,12444.444444444445
19,casa,arriendo,Valdivia,600000.0,55.0,"Rudloff 1 - 300, Sur De Valdivia, Valdivia",2,2.9,1.45,1,Sin hacinamiento,10909.09090909091
20,casa,arriendo,Valdivia,1480000.0,346.0,"Valdivia, Campo Militar De Valdivia",17,2.9,0.17,1,Sin hacinamiento,4277.456647398844
21,casa,arriendo,Valdivia,3600000.0,230.0,"Los Robles , 071, Isla Teja, Valdivia",11,2.9,0.26,1,Sin hacinamiento,15652.173913043478
22,casa,arriendo,Valdivia,3600000.0,203.0,"Valdivia, Isla Teja",10,2.9,0.29,1,Sin hacinamiento,17733.99014778325
23,casa,arriendo,Valdivia,1800000.0,110.0,"Cabo Blanco, Valdivia",5,2.9,0.58,1,Sin hacinamiento,16363.636363636364
24,casa,arriendo,Valdivia,1200000.0,130.0,"Picarte N°4027, Valdivia",6,2.9,0.48,1,Sin hacinamiento,9230.76923076923
25,casa,arriendo,Valdivia,1200000.0,150.0,"COMPLEJO DEPORTIVO ANFA, Valdivia",7,2.9,0.41,1,Sin hacinamiento,8000.0
26,casa,arriendo,Valdivia,1200000.0,236.0,"Pichoy, Valdivia, Valdivia",11,2.9,0.26,1,Sin hacinamiento,5084.745762711865
27,casa,arriendo,Valdivia,1500000.0,270.0,"Camino A Calfuco, Valdivia",13,2.9,0.22,1,Sin hacinamiento,5555.555555555556
28,casa,arriendo,Valdivia,10000000.0,630.0,"Barrio Residencial, Isla Teja, Valdivia",31,2.9,0.09,1,Sin hacinamiento,15873.015873015873
29,casa,arriendo,Valdivia,3800000.0,150.0,"Aníbal Pinto, Campo Militar De Valdivia, Valdivia",7,2.9,0.41,1,Sin hacinamiento,25333.333333333332
30,casa,arriendo,Valdivia,950000.0,150.0,"Cabo Blanco, S/n, Valdivia",7,2.9,0.41,1,Sin hacinamiento,6333.333333333333
31,casa,arriendo,Valdivia,600000.0,64.0,"Conde De Castellar, 221, Niebla, Valdivia",3,2.9,0.97,1,Sin hacinamiento,9375.0
32,casa,arriendo,Valdivia,530000.0,60.0,"Las Gaviotas, Centro De Valdivia, Valdivia",3,2.9,0.97,1,Sin hacinamiento,8833.333333333334
33,casa,arriendo,Valdivia,1200000.0,140.0,"Italia 1770, 5090241 Valdivia, Los Ríos, Chile, Sur De Valdivia, Valdivia",7,2.9,0.41,1,Sin hacinamiento,8571.42857142857
34,casa,arriendo,Valdivia,690000.0,80.0,"Punucapa, Valdivia, Valdivia",4,2.9,0.72,1,Sin hacinamiento,8625.0
35,casa,arriendo,Valdivia,550000.0,45.0,"Potreros ´punucapa, Sn, Valdivia",2,2.9,1.45,1,Sin hacinamiento,12222.222222222223
36,casa,arriendo,Valdivia,4200000.0,300.0,"Valdivia, Centro De Valdivia",15,2.9,0.19,1,Sin hacinamiento,14000.0
37,casa,arriendo,Valdivia,2300000.0,220.0,"Torobayo, Valdivia",11,2.9,0.26,1,Sin hacinamiento,10454.545454545454
38,casa,arriendo,Valdivia,800000.0,130.0,"Niebla, Niebla, Valdivia",6,2.9,0.48,1,Sin hacinamiento,6153.846153846154
39,casa,arriendo,Valdivia,1240000.0,103.0,"Valdivia, Torobayo",5,2.9,0.58,1,Sin hacinamiento,12038.83495145631
40,casa,arriendo,Valdivia,500000.0,30.0,"SECTOR SANTO DOMINGO, Valdivia",1,2.9,2.9,2,Hacinamiento medio,16666.666666666668
41,casa,arriendo,Valdivia,650000.0,70.0,"Pasaje Ostolaza 111, Valdivia, Chile, Las Animas, Valdivia",3,2.9,0.97,1,Sin hacinamiento,9285.714285714286
42,casa,arriendo,Valdivia,5160000.0,783.0,Valdivia,39,2.9,0.07,1,Sin hacinamiento,6590.038314176245
43,casa,arriendo,Valdivia,1500000.0,220.0,"Av. Torobayo 100, Valdivia, Chile, Torobayo, Valdivia",11,2.9,0.26,1,Sin hacinamiento,6818.181818181818
45,casa,arriendo,Valdivia,550000.0,60.0,"EL ARENAL, LAS ANIMAS, Valdivia",3,2.9,0.97,1,Sin hacinamiento,9166.666666666666
46,casa,arriendo,Valdivia,1700000.0,168.0,"Condominio Los Aromos, Isla Teja, Valdivia",8,2.9,0.36,1,Sin hacinamiento,10119.047619047618
49,casa,arriendo,Valdivia,420000.0,36.0,"BAQUENADO ESQUINA ERRAZURIZ, Campo Militar De Valdivia, Valdivia",1,2.9,2.9,2,Hacinamiento medio,11666.666666666666
50,casa,arriendo,Valdivia,1800000.0,240.0,"Valdivia, Campo Militar De Valdivia",12,2.9,0.24,1,Sin hacinamiento,7500.0
51,casa,arriendo,Valdivia,530000.0,60.0,"DEPARTAMENTO AV. CIRCUNVALACIÓN, Sur De Valdivia, Valdivia",3,2.9,0.97,1,Sin hacinamiento,8833.333333333334
52,casa,arriendo,Valdivia,400000.0,35.0,"Fundo El Colmenar, 1 - 300, Valdivia",1,2.9,2.9,2,Hacinamiento medio,11428.57142857143
53,casa,arriendo,Valdivia,4840000.0,190.0,"Sector Regional, Campo Militar De Valdivia, Valdivia",9,2.9,0.32,1,Sin hacinamiento,25473.684210526317
54,casa,arriendo,Valdivia,750000.0,80.0,"Elena Uno, 211, Sur De Valdivia, Valdivia",4,2.9,0.72,1,Sin hacinamiento,9375.0
