id,tipo,modalidad,comuna,precio,m2_utiles,ubicacion
1,casa,arriendo,Valdivia,1.100.000,200 m² útiles,"Hernando De Rivera 300 - 600, Valdivia, Sur De Valdivia, Valdivia"
2,casa,arriendo,Valdivia,640.000,73 m² útiles,"6W62+5H, Valdivia, Valdivia"
3,casa,arriendo,Valdivia,3000000,300 m² útiles,"Carampangue, Valdivia, Centro De Valdivia, Valdivia"
4,casa,arriendo,Valdivia,1.350.000,172 m² útiles,"Nebuco 1 - 300, Valdivia, Sur De Valdivia, Valdivia"
5,casa,arriendo,Valdivia,2000000,170 m² útiles,"O'Higgins 234, Valdivia, Centro De Valdivia, Valdivia"
6,casa,arriendo,Valdivia,850.000,114 m² útiles,"6W62+5H, Valdivia, Valdivia"
7,casa,arriendo,Valdivia,1.750.000,240 m² útiles,"Chabelita, Valdivia, Valdivia"
8,casa,arriendo,Valdivia,350.000,65 m² útiles,"Chabelita, Valdivia, Valdivia"
9,casa,arriendo,Valdivia,1.400.000,260 m² útiles,"Frente A Clinica Alemana, Centro De Valdivia, Valdivia"
10,casa,arriendo,Valdivia,800.000,220 m² útiles,"Punucapa Alto, Valdivia"
11,casa,arriendo,Valdivia,550.000,40 m² útiles,"Lourdes, Valdivia, Las Animas, Valdivia"
12,casa,arriendo,Valdivia,450.000,60 m² útiles,"Lourdes, Valdivia, Las Animas, Valdivia"
13,casa,arriendo,Valdivia,3200000,205 m² útiles,"Los Helechos, 570, Isla Teja, Valdivia"
14,casa,arriendo,Valdivia,500.000,70 m² útiles,"Reserva De Calfuco, Valdivia"
15,casa,arriendo,Valdivia,1.700.000,140 m² útiles,"Lemoniz, 25, Torobayo, Valdivia"
16,casa,arriendo,Valdivia,1.500.000,185 m² útiles,"Carpe Diem, Valdivia, Chile, Torobayo, Valdivia"
17,casa,arriendo,Valdivia,2.800.000,225 m² útiles,"Carlos Anwandter 1 - 300, Centro De Valdivia, Valdivia"
18,casa,arriendo,Valdivia,600.000,N/D,"Carampangue, Centro De Valdivia, Valdivia"
19,casa,arriendo,Valdivia,600.000,55 m² útiles,"Rudloff 1 - 300, Sur De Valdivia, Valdivia"
20,casa,arriendo,Valdivia,1480000,346 m² útiles,"Valdivia, Campo Militar De Valdivia"
21,casa,arriendo,Valdivia,3600000,230 m² útiles,"Los Robles , 071, Isla Teja, Valdivia"
22,casa,arriendo,Valdivia,3600000,203 m² útiles,"Valdivia, Isla Teja"
23,casa,arriendo,Valdivia,1800000,110 m² útiles,"Cabo Blanco, Valdivia"
24,casa,arriendo,Valdivia,1.200.000,130 m² útiles,"Picarte N°4027, Valdivia"
25,casa,arriendo,Valdivia,1.200.000,150 m² útiles,"COMPLEJO DEPORTIVO ANFA, Valdivia"
26,casa,arriendo,Valdivia,1.200.000,236 m² útiles,"Pichoy, Valdivia, Valdivia"
27,casa,arriendo,Valdivia,1.500.000,270 m² útiles,"Camino A Calfuco, Valdivia"
28,casa,arriendo,Valdivia,10000000,630 m² útiles,"Barrio Residencial, Isla Teja, Valdivia"
29,casa,arriendo,Valdivia,3.800.000,150 m² útiles,"Aníbal Pinto, Campo Militar De Valdivia, Valdivia"
30,casa,arriendo,Valdivia,950.000,150 m² útiles,"Cabo Blanco, S/n, Valdivia"
