comuna,modalidad,n_propiedades,m2_promedio,dormitorios_prom,indice_promedio,f_A_promedio,pct_sin_hacin,pct_hacin_medio,pct_hacin_critico,pct_hacin_severo,precio_promedio,precio_m2_mediana
Corral,arriendo,1,72.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,400000.0,5555.56
Corral,venta,2,130.0,6.5,0.65,1.0,100.0,0.0,0.0,0.0,417500000.0,2758333.33
Futrono,arriendo,18,206.72,10.22,0.4,1.0,100.0,0.0,0.0,0.0,598888.89,2475.0
Futrono,venta,91,244.3,12.01,0.45,1.03,96.7,3.3,0.0,0.0,588047472.53,2181818.18
La Unión,arriendo,3,63.33,3.0,1.12,1.0,100.0,0.0,0.0,0.0,433333.33,6363.64
La Unión,venta,54,189.31,9.11,0.64,1.06,94.44,5.56,0.0,0.0,306525927.78,1230041.9
Lanco,arriendo,1,140.0,7.0,0.46,1.0,100.0,0.0,0.0,0.0,400000.0,2857.14
Lanco,venta,9,232.44,11.44,0.42,1.0,100.0,0.0,0.0,0.0,319982222.22,1129411.76
Los Lagos,arriendo,2,90.0,4.5,0.72,1.0,100.0,0.0,0.0,0.0,450000.0,4937.5
Los Lagos,venta,39,164.9,7.92,0.67,1.03,97.44,2.56,0.0,0.0,226266666.67,1084337.35
Mariquina,venta,15,175.2,8.4,0.51,1.0,100.0,0.0,0.0,0.0,218333333.33,1330935.25
Máfil,arriendo,1,54.0,2.0,1.55,1.0,100.0,0.0,0.0,0.0,380000.0,7037.04
Máfil,venta,4,169.5,8.25,0.5,1.0,100.0,0.0,0.0,0.0,222000000.0,1329738.56
Paillaco,arriendo,1,120.0,6.0,0.52,1.0,100.0,0.0,0.0,0.0,550000.0,4583.33
Paillaco,venta,9,132.33,6.33,0.66,1.0,100.0,0.0,0.0,0.0,186617777.78,1460317.46
Panguipulli,arriendo,12,240.75,11.83,0.65,1.08,91.67,8.33,0.0,0.0,535833.33,1761.7
Panguipulli,venta,139,228.81,11.21,0.58,1.05,94.96,5.04,0.0,0.0,510385323.74,1862857.14
Río Bueno,arriendo,6,124.33,6.17,0.78,1.0,100.0,0.0,0.0,0.0,681666.67,5807.07
Río Bueno,venta,28,124.5,5.96,0.89,1.07,92.86,7.14,0.0,0.0,201940000.0,1257529.79
Valdivia,arriendo,230,96.43,4.82,1.08,1.12,87.83,12.17,0.0,0.0,1505452.17,10620.19
Valdivia,venta,957,168.44,8.27,0.62,1.04,96.03,3.97,0.0,0.0,344709937.79,2176470.59
