folio,id_persona,region,comuna,comuna_nombre,pobreza_multi_2015,hh_d_hacina_2015
100390101,1,14,14107,Paillaco,0.0,0.0
100390201,1,14,14107,Paillaco,0.0,0.0
100390301,1,14,14107,Paillaco,0.0,0.0
100390401,1,14,14107,Paillaco,0.0,0.0
100390601,1,14,14107,Paillaco,0.0,0.0
100390701,1,14,14107,Paillaco,0.0,0.0
101250101,1,14,14101,Valdivia,0.0,0.0
101250201,1,14,14101,Valdivia,0.0,0.0
101250301,1,14,14101,Valdivia,0.0,0.0
101250401,1,14,14101,Valdivia,0.0,0.0
101250601,1,14,14101,Valdivia,0.0,0.0
101250801,1,14,14101,Valdivia,0.0,0.0
101900101,1,14,14101,Valdivia,0.0,0.0
101900201,1,14,14101,Valdivia,0.0,0.0
101900301,1,14,14101,Valdivia,0.0,0.0
101900401,1,14,14101,Valdivia,0.0,0.0
101900501,1,14,14101,Valdivia,0.0,0.0
101900601,1,14,14101,Valdivia,0.0,0.0
101900701,1,14,14101,Valdivia,0.0,0.0
101900801,1,14,14101,Valdivia,0.0,0.0
102460101,1,14,14201,La Unión,0.0,0.0
102460201,1,14,14201,La Unión,0.0,0.0
102460301,1,14,14201,La Unión,0.0,0.0
102460401,1,14,14201,La Unión,0.0,0.0
102460501,1,14,14201,La Unión,0.0,0.0
102460601,1,14,14201,La Unión,0.0,0.0
102460701,1,14,14201,La Unión,1.0,0.0
102460801,1,14,14201,La Unión,1.0,0.0
102460901,1,14,14201,La Unión,0.0,0.0
102461001,1,14,14201,La Unión,0.0,0.0
102970201,1,14,14201,La Unión,0.0,0.0
102970301,1,14,14201,La Unión,0.0,0.0
102970401,1,14,14201,La Unión,0.0,0.0
102970501,1,14,14201,La Unión,0.0,0.0
102970601,1,14,14201,La Unión,0.0,0.0
102970701,1,14,14201,La Unión,0.0,0.0
102970801,1,14,14201,La Unión,0.0,0.0
105070101,1,14,14201,La Unión,0.0,0.0
105070201,1,14,14201,La Unión,0.0,0.0
105070501,1,14,14201,La Unión,0.0,0.0
105070601,1,14,14201,La Unión,1.0,0.0
105070701,1,14,14201,La Unión,0.0,0.0
105070801,1,14,14201,La Unión,0.0,0.0
105070901,1,14,14201,La Unión,1.0,0.0
105071001,1,14,14201,La Unión,0.0,0.0
105440101,1,14,14104,Los Lagos,0.0,0.0
105440201,1,14,14104,Los Lagos,0.0,0.0
105440701,1,14,14104,Los Lagos,1.0,0.0
105440801,1,14,14104,Los Lagos,1.0,0.0
105440901,1,14,14104,Los Lagos,1.0,0.0
105441001,1,14,14104,Los Lagos,1.0,0.0
106060101,1,14,14201,La Unión,0.0,0.0
106060201,1,14,14201,La Unión,1.0,0.0
106060301,1,14,14201,La Unión,0.0,0.0
106060401,1,14,14201,La Unión,0.0,0.0
106060501,1,14,14201,La Unión,0.0,0.0
106060601,1,14,14201,La Unión,0.0,0.0
106060701,1,14,14201,La Unión,0.0,0.0
106060801,1,14,14201,La Unión,,0.0
106060901,1,14,14201,La Unión,0.0,0.0
