y1,y11,y20amonto,sexo,region,esc
400000.0,,,2,14,15.0
330000.0,,,2,14,15.0
,0.0,,2,14,2.0
,0.0,,2,14,12.0
,,11091.0,1,14,
,,11091.0,2,14,
96000.0,,,2,14,16.0
70000.0,,,2,14,15.0
,,,2,14,
,0.0,,1,14,11.0
250000.0,,,2,14,12.0
,,,1,14,8.0
,,,1,14,
,,,1,14,
280000.0,,,1,14,13.0
280000.0,,,1,14,11.0
300000.0,,,1,14,12.0
150000.0,,,2,14,12.0
270000.0,,,2,14,15.0
,0.0,,1,14,12.0
,0.0,,1,14,12.0
,,,2,14,
,,,2,14,12.0
,0.0,11091.0,2,14,11.0
,,11091.0,2,14,
,,11091.0,2,14,
140000.0,,,2,14,16.0
,0.0,,1,14,12.0
500000.0,,,2,14,12.0
1200000.0,,,1,14,17.0
99.0,,,2,14,17.0
,0.0,,1,14,17.0
,0.0,,1,14,16.0
99.0,,,2,14,17.0
,,,2,14,15.0
,,,1,14,
,,,1,14,
,,,1,14,12.0
,0.0,,2,14,15.0
300000.0,,,2,14,12.0
,,,1,14,14.0
310000.0,,,2,14,
,0.0,11091.0,1,14,10.0
,,11091.0,2,14,
,,11091.0,1,14,
,,11091.0,1,14,
,,11091.0,2,14,
,0.0,,2,14,
0.0,,,1,14,13.0
0.0,,11091.0,1,14,11.0
,,11091.0,1,14,
,,11091.0,2,14,
,,,1,14,19.0
1700000.0,,,2,14,17.0
,0.0,,1,14,16.0
,0.0,,2,14,15.0
,0.0,,2,14,11.0
,0.0,,1,14,13.0
,0.0,,1,14,12.0
,,,2,14,3.0
,,,2,14,15.0
,,,1,14,
,,,1,14,
,0.0,,1,14,16.0
,0.0,,2,14,11.0
80000.0,,,1,14,10.0
,0.0,,2,14,11.0
,0.0,,1,14,15.0
1000000.0,,,2,14,17.0
,0.0,,1,14,17.0
,,,2,14,
,,,1,14,
1500000.0,,,1,14,17.0
,,,2,14,17.0
,0.0,,2,14,12.0
,0.0,,2,14,17.0
,,,1,14,17.0
350000.0,,,1,14,12.0
,0.0,,2,14,12.0
,,,2,14,
,0.0,,1,14,15.0
,0.0,,2,14,12.0
,,,1,14,12.0
,50000.0,,1,14,12.0
,0.0,,2,14,12.0
,,11091.0,1,14,
,,,1,14,6.0
310000.0,,,1,14,12.0
,0.0,,2,14,12.0
,0.0,,2,14,14.0
,0.0,,2,14,10.0
,,,1,14,6.0
,0.0,,2,14,3.0
450000.0,,,2,14,15.0
350000.0,,,1,14,12.0
,0.0,,1,14,19.0
420000.0,,,1,14,12.0
380000.0,,,1,14,14.0
380000.0,,,2,14,14.0
,,,1,14,
,,,1,14,
,,,2,14,
400000.0,,,1,14,12.0
300000.0,,,2,14,14.0
,,,1,14,
,,,2,14,
650000.0,,,1,14,17.0
550000.0,,,1,14,12.0
,,,2,14,11.0
,0.0,,2,14,11.0
,,,1,14,
,0.0,,2,14,12.0
,0.0,,2,14,2.0
,0.0,,1,14,11.0
,,,2,14,
,,,2,14,
,0.0,,2,14,8.0
300000.0,,,1,14,8.0
,0.0,,2,14,11.0
,,,1,14,
,0.0,,2,14,8.0
,0.0,,1,14,7.0
,,,1,14,
,,,2,14,
,,,2,14,
,,,1,14,12.0
,0.0,,2,14,12.0
250000.0,,,2,14,16.0
,,,2,14,
,,,2,14,
600000.0,,,1,14,19.0
600000.0,,,1,14,19.0
,0.0,,2,14,12.0
350000.0,,,1,14,12.0
,0.0,,1,14,17.0
,0.0,,1,14,13.0
,,,2,14,5.0
,0.0,,2,14,4.0
,,,1,14,4.0
250000.0,,,2,14,12.0
250000.0,,,2,14,8.0
700000.0,,,1,14,8.0
500000.0,,,2,14,12.0
,,,1,14,12.0
250000.0,,,2,14,17.0
,0.0,,2,14,1.0
,0.0,,1,14,2.0
,,,1,14,10.0
550000.0,,,2,14,12.0
,0.0,,1,14,17.0
250000.0,,,2,14,12.0
,0.0,,2,14,12.0
,,,2,14,
,0.0,,1,14,17.0
1500000.0,,,2,14,21.0
,0.0,,1,14,12.0
,0.0,,2,14,15.0
,45000.0,,1,14,15.0
280000.0,,,1,14,16.0
,0.0,,2,14,18.0
,0.0,,1,14,18.0
,,,1,14,11.0
,,,2,14,4.0
,,,2,14,12.0
,,,1,14,12.0
,,,2,14,
,0.0,,2,14,12.0
0.0,,,1,14,12.0
300000.0,,,1,14,12.0
,,,2,14,8.0
0.0,,,1,14,3.0
500000.0,,,1,14,11.0
,0.0,,2,14,17.0
800000.0,,,1,14,12.0
99.0,,,2,14,17.0
99.0,,,1,14,12.0
,0.0,,2,14,10.0
,0.0,,2,14,17.0
,0.0,,2,14,17.0
1200000.0,,,1,14,14.0
,,,2,14,12.0
,,,1,14,
,,,1,14,
,,,1,14,16.0
,0.0,,1,14,12.0
,0.0,,2,14,12.0
,,,2,14,8.0
500000.0,,,1,14,8.0
,0.0,,1,14,12.0
400000.0,,,2,14,12.0
270000.0,,,1,14,12.0
270000.0,,,1,14,4.0
,0.0,,2,14,12.0
,,,1,14,
,,,2,14,
1400000.0,,,1,14,17.0
,0.0,,2,14,12.0
0.0,,,2,14,17.0
300000.0,,,2,14,12.0
,,,2,14,11.0
,,,1,14,18.0
,,,1,14,17.0
,0.0,,1,14,12.0
,0.0,,2,14,12.0
,0.0,,1,14,12.0
,0.0,,1,14,12.0
,,,2,14,12.0
,,,1,14,17.0
,0.0,,2,14,12.0
790000.0,,,2,14,17.0
,,,1,14,
1200000.0,,,1,14,17.0
1100000.0,,,2,14,19.0
,0.0,,2,14,12.0
,,,1,14,15.0
,0.0,,1,14,17.0
,0.0,,2,14,8.0
720000.0,,,1,14,14.0
,,,2,14,14.0
,0.0,,2,14,12.0
1800000.0,,,2,14,19.0
1500000.0,,,1,14,21.0
,,,2,14,
2000000.0,,,2,14,17.0
1100000.0,,,2,14,19.0
,0.0,,2,14,13.0
,0.0,,2,14,10.0
670000.0,,,1,14,18.0
99.0,,,1,14,18.0
99.0,,,1,14,20.0
500000.0,,,2,14,12.0
,0.0,,2,14,13.0
,0.0,,2,14,16.0
1000000.0,,,2,14,17.0
,0.0,,1,14,16.0
,0.0,,2,14,16.0
,0.0,,2,14,6.0
