y1,y11,y20amonto,y29_2b,sexo,region,esc,oficio1
,,,,2,14,8.0,
,,,,1,14,10.0,
,,,,2,14,8.0,5.0
,,,,1,14,12.0,5.0
300000.0,,,,1,14,16.0,5.0
,,,,1,14,13.0,5.0
,,,,2,14,12.0,
700000.0,,,,1,14,13.0,7.0
,,21243.0,,1,14,,
,,21243.0,,1,14,,
500000.0,,,,2,14,8.0,8.0
500000.0,,,,1,14,12.0,8.0
,,,,1,14,9.0,
,,,,1,14,,
650000.0,,,,1,14,12.0,8.0
425000.0,,,,2,14,15.0,4.0
0.0,,,,2,14,16.0,9.0
,,,,2,14,15.0,
,,,,1,14,14.0,
300000.0,,,,2,14,6.0,9.0
500000.0,,,,2,14,12.0,5.0
,140000.0,,,1,14,16.0,
800000.0,,,,2,14,18.0,2.0
1200000.0,,,,2,14,17.0,2.0
-88.0,,,,1,14,15.0,3.0
-88.0,,,,2,14,17.0,2.0
,,,500000.0,2,14,15.0,
,,,241000.0,1,14,0.0,
2000000.0,,,,2,14,18.0,2.0
,,,400000.0,2,14,15.0,
,,,,2,14,18.0,
1500000.0,,,,1,14,19.0,2.0
,,,,2,14,15.0,7.0
700000.0,,,,2,14,17.0,2.0
2060000.0,,,,2,14,23.0,2.0
5500000.0,,,,1,14,19.0,2.0
,,,,1,14,10.0,
,,,,2,14,,
7500000.0,,,,1,14,20.0,1.0
,,,,2,14,25.0,2.0
,,,,1,14,12.0,
1500000.0,,,,2,14,17.0,2.0
,,,,2,14,,
,,,,2,14,12.0,
750000.0,,,,1,14,12.0,7.0
,,,,1,14,13.0,
,,,,2,14,,
580000.0,,,,1,14,8.0,9.0
,,,,2,14,14.0,
,,,,2,14,,
,450000.0,,,2,14,17.0,
900000.0,,,,2,14,15.0,3.0
1000000.0,,,,1,14,15.0,3.0
,,,,2,14,,
,,,,1,14,,
670000.0,,,,1,14,12.0,7.0
574000.0,,,,2,14,15.0,3.0
,,,,1,14,,
,,,,2,14,,
500000.0,,,,1,14,8.0,9.0
500000.0,,,,2,14,12.0,7.0
,,,,2,14,10.0,
,,,,1,14,,
,,,,2,14,12.0,
,,,214000.0,1,14,2.0,
,,,214000.0,2,14,0.0,
,,,,2,14,0.0,
,,,214000.0,1,14,4.0,
,,,214296.0,1,14,3.0,
,,,214296.0,2,14,0.0,
,,,200000.0,1,14,,
,,,214000.0,2,14,15.0,
,,,,2,14,3.0,
,,,,1,14,12.0,
,,,214296.0,2,14,5.0,
,,,214296.0,1,14,8.0,
,,,230000.0,1,14,8.0,
,,,,2,14,8.0,
,,,214296.0,1,14,8.0,
,,,296294.0,1,14,8.0,
,,,,2,14,0.0,
,,,,2,14,12.0,
750000.0,,,,2,14,16.0,2.0
,,21243.0,,2,14,,
650000.0,,,,1,14,8.0,6.0
550000.0,,,,1,14,12.0,8.0
400000.0,,,,2,14,8.0,9.0
,,,,2,14,14.0,
,,,,2,14,15.0,3.0
,,,,2,14,4.0,
620000.0,,,,2,14,17.0,2.0
650000.0,,,,1,14,15.0,8.0
,,,,1,14,,
,,,,2,14,,
,,,360000.0,1,14,3.0,
,,,214296.0,2,14,3.0,
930000.0,,,,2,14,21.0,1.0
930000.0,,,,1,14,17.0,2.0
,,,,1,14,,
,,,,2,14,,
,,,,1,14,11.0,9.0
,,,,2,14,5.0,
520000.0,,,,1,14,6.0,9.0
500000.0,,,,2,14,12.0,4.0
500000.0,,,,1,14,7.0,6.0
,,,,2,14,9.0,
300000.0,,,,1,14,12.0,8.0
,,21243.0,,1,14,,
,,21243.0,,1,14,,
,,,214296.0,2,14,3.0,
,,,,1,14,5.0,
,,,,1,14,8.0,6.0
,,,214296.0,2,14,6.0,
,,,214400.0,2,14,5.0,
,,,,1,14,5.0,
,,,,2,14,12.0,
220000.0,,,,2,14,17.0,5.0
,,,,1,14,,
,,,,1,14,15.0,
,,,214296.0,2,14,17.0,
,,,,2,14,4.0,
500000.0,,,,1,14,6.0,6.0
,,,,2,14,9.0,
,,,,2,14,10.0,
,,,,1,14,10.0,
,,21243.0,,1,14,8.0,
,,21243.0,,2,14,,
,,21243.0,,2,14,,
200000.0,,,,2,14,8.0,9.0
,,,1000000.0,1,14,17.0,
,,,,2,14,12.0,
,,,106000.0,2,14,8.0,
,,,,1,14,6.0,
,,,,2,14,,
,,,,2,14,12.0,9.0
,,,,2,14,5.0,
500000.0,,,,1,14,8.0,6.0
,300000.0,,,1,14,12.0,
,150000.0,,,1,14,12.0,
,,,,2,14,12.0,7.0
,,,400000.0,1,14,8.0,
,,,,1,14,12.0,
,,,214000.0,1,14,0.0,
,,,1000000.0,1,14,12.0,
,,,214000.0,2,14,12.0,
,,,214000.0,2,14,12.0,
,,,1000000.0,1,14,12.0,
480000.0,,,,2,14,15.0,5.0
,,,,1,14,15.0,7.0
,,,,2,14,,
,,,,2,14,,
,,,,2,14,12.0,
0.0,,,,1,14,13.0,6.0
,,21243.0,,1,14,12.0,
,,21243.0,,2,14,11.0,
,,,332000.0,1,14,3.0,
,,,,2,14,12.0,
650000.0,,,,1,14,8.0,8.0
,,,,2,14,10.0,
,,,214296.0,1,14,0.0,
,,,,2,14,15.0,
,,,750000.0,1,14,15.0,8.0
650000.0,,,,1,14,15.0,3.0
490000.0,,,,1,14,12.0,7.0
,,,,2,14,14.0,
,,,,1,14,17.0,
,,,214296.0,2,14,12.0,
,,,,1,14,9.0,5.0
,,,400000.0,1,14,12.0,
,,,214296.0,2,14,12.0,1.0
500000.0,,,220000.0,1,14,6.0,6.0
800000.0,,,,1,14,22.0,2.0
,,,,1,14,15.0,
600000.0,,,,2,14,15.0,3.0
500000.0,,,,1,14,15.0,7.0
,,,,1,14,,
,,,,2,14,11.0,
,,,214296.0,2,14,0.0,
,,,,1,14,6.0,
,,,103000.0,2,14,14.0,
,,,250000.0,2,14,12.0,
,,,324000.0,1,14,3.0,
,,,,2,14,4.0,
1950000.0,,,,2,14,17.0,2.0
,,,,2,14,10.0,
,,,,2,14,5.0,
663000.0,,,,1,14,15.0,5.0
,,,,2,14,17.0,
2000000.0,,,,2,14,17.0,2.0
,,,590000.0,1,14,17.0,
,,,,1,14,,
,,,,1,14,,
2300000.0,,,,1,14,17.0,2.0
,,,500000.0,2,14,17.0,
1000000.0,,,,2,14,15.0,3.0
,,,,1,14,10.0,
,,,,2,14,8.0,
450000.0,,,,1,14,7.0,5.0
0.0,,,,2,14,12.0,9.0
,,,,2,14,,
,,,,2,14,12.0,
,,21243.0,,2,14,,
350000.0,,,,2,14,15.0,3.0
320000.0,,,,1,14,10.0,8.0
,,,,2,14,,
,,,214296.0,2,14,12.0,
,,,310000.0,1,14,3.0,
450000.0,,,,2,14,15.0,5.0
,,,,2,14,12.0,
,,,,2,14,,
,,,,2,14,12.0,
650000.0,,,,1,14,15.0,8.0
,,,,2,14,,
,,,,1,14,,
,,,,2,14,12.0,5.0
,,,,1,14,16.0,
,,,,2,14,15.0,3.0
,,,,1,14,12.0,7.0
500000.0,,,,1,14,12.0,8.0
,,,,1,14,15.0,
,,,,1,14,,
,,,,2,14,12.0,
,,,,2,14,12.0,
,,,,1,14,12.0,8.0
,,21243.0,,2,14,,
,,21243.0,,2,14,,
,,21243.0,,1,14,,
960000.0,,,,2,14,14.0,3.0
,,,230000.0,2,14,8.0,
750000.0,,,,1,14,12.0,8.0
,,,,1,14,10.0,
,,,,2,14,,
40000.0,,,,2,14,4.0,9.0
,,,250000.0,1,14,5.0,5.0
,,,,2,14,5.0,
380000.0,,,,1,14,16.0,8.0
850000.0,,,240000.0,1,14,5.0,8.0
,,,214000.0,2,14,0.0,
,,,,2,14,0.0,
,,,,1,14,10.0,7.0
500000.0,,,,1,14,8.0,3.0
,150000.0,,,2,14,12.0,
540000.0,,,,1,14,12.0,5.0
1200000.0,,,,1,14,16.0,2.0
,,,,2,14,17.0,
,,,,2,14,17.0,
2000000.0,,,,1,14,17.0,1.0
1800000.0,,,,2,14,17.0,2.0
2800000.0,,,,1,14,17.0,1.0
,,,,2,14,,
,,,,2,14,,
2500000.0,,,,1,14,19.0,1.0
1000000.0,,,,2,14,17.0,2.0
,,,,1,14,,
,,,,2,14,,
500000.0,,,,2,14,15.0,3.0
2000000.0,,,,1,14,16.0,2.0
,,,,1,14,16.0,
600000.0,,,,1,14,17.0,2.0
750000.0,,,,2,14,17.0,7.0
,,,,1,14,15.0,4.0
,,,,2,14,17.0,2.0
,,,,1,14,17.0,1.0
750000.0,,,,1,14,17.0,2.0
,,,900000.0,2,14,10.0,
,,,214296.0,1,14,4.0,
270000.0,,,214296.0,2,14,10.0,9.0
,,,,2,14,12.0,
,,,,2,14,15.0,
500000.0,,,,1,14,15.0,5.0
,,,,2,14,,
,,,214296.0,2,14,6.0,
,,,,2,14,15.0,3.0
,,,190000.0,2,14,12.0,
,,,,2,14,6.0,
,,,,1,14,9.0,7.0
,,,,1,14,17.0,
2000000.0,,,,2,14,16.0,2.0
1000000.0,,,,1,14,15.0,2.0
,,,,1,14,,
,,,,1,14,,
640000.0,,,,2,14,15.0,4.0
,,,,2,14,16.0,
,,,,2,14,13.0,
,,,,2,14,11.0,
,,,,2,14,15.0,8.0
500000.0,,,,1,14,17.0,2.0
,,,,1,14,8.0,6.0
,,,212000.0,2,14,13.0,
,,,,2,14,12.0,
,,,,1,14,15.0,9.0
,,,,2,14,10.0,
300000.0,,,,2,14,3.0,6.0
250000.0,,,,2,14,16.0,5.0
,,21243.0,,2,14,11.0,
,,,,1,14,12.0,7.0
,,,,2,14,12.0,
700000.0,,,,1,14,17.0,3.0
,,,300000.0,1,14,8.0,
,,,214000.0,2,14,8.0,
232500.0,,,220000.0,2,14,5.0,9.0
,,,,1,14,11.0,7.0
450000.0,,,,2,14,14.0,5.0
,,,,2,14,3.0,
500000.0,,,,1,14,17.0,3.0
200000.0,,,,2,14,12.0,5.0
,,21243.0,,2,14,10.0,
,,21243.0,,2,14,,
,,,330000.0,1,14,12.0,
,,,220000.0,2,14,12.0,
,,,,2,14,0.0,
,,,,1,14,4.0,
,,,,2,14,8.0,
500000.0,,,,2,14,12.0,9.0
,,,,2,14,8.0,
500000.0,,,,1,14,12.0,9.0
,,,,1,14,12.0,
,,,,2,14,13.0,
,,,,1,14,,
,,,,2,14,,
,,,145000.0,1,14,12.0,
,,,,2,14,9.0,9.0
500000.0,,,,1,14,12.0,3.0
,,,,2,14,12.0,
1100000.0,,,,1,14,15.0,3.0
800000.0,,,,1,14,12.0,8.0
,,,220000.0,2,14,8.0,
,,,,1,14,4.0,
,,,,2,14,12.0,7.0
,,,,1,14,12.0,
,,,,2,14,15.0,
,,,420000.0,1,14,3.0,
,,,214296.0,2,14,3.0,
500000.0,,,,1,14,9.0,5.0
,,,,2,14,6.0,7.0
2200000.0,,,,1,14,19.0,2.0
,,,,2,14,17.0,
,,,,1,14,4.0,
,,,490000.0,1,14,12.0,6.0
,,,,2,14,4.0,7.0
,,21243.0,,2,14,10.0,
220000.0,,,,1,14,6.0,7.0
,,,,2,14,6.0,
500000.0,,,,1,14,12.0,7.0
,,,,1,14,5.0,9.0
,,,214296.0,1,14,7.0,6.0
,,,214296.0,2,14,6.0,
,,,,1,14,12.0,
,,,,1,14,14.0,1.0
560000.0,,,,2,14,15.0,3.0
,,,500000.0,1,14,12.0,7.0
,,,,2,14,12.0,5.0
1200000.0,,,,1,14,12.0,3.0
,,,214296.0,2,14,2.0,
,,,,2,14,8.0,
,50000.0,,330000.0,1,14,6.0,
,,,,2,14,4.0,
,,,320000.0,1,14,6.0,7.0
,,,,1,14,12.0,7.0
700000.0,,,,1,14,12.0,7.0
700000.0,,,,2,14,12.0,5.0
,,,,1,14,,
,,,,1,14,17.0,5.0
,,,,2,14,12.0,7.0
,,,,1,14,10.0,
,,,,2,14,,
,,,,1,14,,
,,,214296.0,2,14,10.0,
230000.0,,,220000.0,2,14,12.0,5.0
,,,,1,14,12.0,
,,,,2,14,3.0,
430000.0,,,,2,14,8.0,5.0
,,,,1,14,9.0,
500000.0,,,,1,14,12.0,5.0
1600000.0,,,,2,14,17.0,2.0
,,,,1,14,8.0,8.0
700000.0,,,,1,14,13.0,7.0
,,,,2,14,15.0,
,,,,2,14,10.0,
,,,,1,14,,
