y1,y11,y20amonto,y29_2b,sexo,region
,,,,2,14
,,,,1,14
,,,,2,14
,,,,1,14
300000.0,,,,1,14
,,,,1,14
,,,,2,14
700000.0,,,,1,14
,,21243.0,,1,14
,,21243.0,,1,14
500000.0,,,,2,14
500000.0,,,,1,14
,,,,1,14
,,,,1,14
650000.0,,,,1,14
425000.0,,,,2,14
0.0,,,,2,14
,,,,2,14
,,,,1,14
300000.0,,,,2,14
500000.0,,,,2,14
,140000.0,,,1,14
800000.0,,,,2,14
1200000.0,,,,2,14
-88.0,,,,1,14
-88.0,,,,2,14
,,,500000.0,2,14
,,,241000.0,1,14
2000000.0,,,,2,14
,,,400000.0,2,14
,,,,2,14
1500000.0,,,,1,14
,,,,2,14
700000.0,,,,2,14
2060000.0,,,,2,14
5500000.0,,,,1,14
,,,,1,14
,,,,2,14
7500000.0,,,,1,14
,,,,2,14
,,,,1,14
1500000.0,,,,2,14
,,,,2,14
,,,,2,14
750000.0,,,,1,14
,,,,1,14
,,,,2,14
580000.0,,,,1,14
,,,,2,14
,,,,2,14
,450000.0,,,2,14
900000.0,,,,2,14
1000000.0,,,,1,14
,,,,2,14
,,,,1,14
670000.0,,,,1,14
574000.0,,,,2,14
,,,,1,14
,,,,2,14
500000.0,,,,1,14
500000.0,,,,2,14
,,,,2,14
,,,,1,14
,,,,2,14
,,,214000.0,1,14
,,,214000.0,2,14
,,,,2,14
,,,214000.0,1,14
,,,214296.0,1,14
,,,214296.0,2,14
,,,200000.0,1,14
,,,214000.0,2,14
,,,,2,14
,,,,1,14
,,,214296.0,2,14
,,,214296.0,1,14
,,,230000.0,1,14
,,,,2,14
,,,214296.0,1,14
,,,296294.0,1,14
,,,,2,14
,,,,2,14
750000.0,,,,2,14
,,21243.0,,2,14
650000.0,,,,1,14
550000.0,,,,1,14
400000.0,,,,2,14
,,,,2,14
,,,,2,14
,,,,2,14
620000.0,,,,2,14
650000.0,,,,1,14
,,,,1,14
,,,,2,14
,,,360000.0,1,14
,,,214296.0,2,14
930000.0,,,,2,14
930000.0,,,,1,14
,,,,1,14
,,,,2,14
,,,,1,14
,,,,2,14
520000.0,,,,1,14
500000.0,,,,2,14
500000.0,,,,1,14
,,,,2,14
300000.0,,,,1,14
,,21243.0,,1,14
,,21243.0,,1,14
,,,214296.0,2,14
,,,,1,14
,,,,1,14
,,,214296.0,2,14
,,,214400.0,2,14
,,,,1,14
,,,,2,14
220000.0,,,,2,14
,,,,1,14
,,,,1,14
,,,214296.0,2,14
,,,,2,14
500000.0,,,,1,14
,,,,2,14
,,,,2,14
,,,,1,14
,,21243.0,,1,14
,,21243.0,,2,14
,,21243.0,,2,14
200000.0,,,,2,14
,,,1000000.0,1,14
,,,,2,14
,,,106000.0,2,14
,,,,1,14
,,,,2,14
,,,,2,14
,,,,2,14
500000.0,,,,1,14
,300000.0,,,1,14
,150000.0,,,1,14
,,,,2,14
,,,400000.0,1,14
,,,,1,14
,,,214000.0,1,14
,,,1000000.0,1,14
,,,214000.0,2,14
,,,214000.0,2,14
,,,1000000.0,1,14
480000.0,,,,2,14
,,,,1,14
,,,,2,14
,,,,2,14
,,,,2,14
0.0,,,,1,14
,,21243.0,,1,14
,,21243.0,,2,14
,,,332000.0,1,14
,,,,2,14
650000.0,,,,1,14
,,,,2,14
,,,214296.0,1,14
,,,,2,14
,,,750000.0,1,14
650000.0,,,,1,14
490000.0,,,,1,14
,,,,2,14
,,,,1,14
,,,214296.0,2,14
,,,,1,14
,,,400000.0,1,14
,,,214296.0,2,14
500000.0,,,220000.0,1,14
800000.0,,,,1,14
,,,,1,14
600000.0,,,,2,14
500000.0,,,,1,14
,,,,1,14
,,,,2,14
,,,214296.0,2,14
,,,,1,14
,,,103000.0,2,14
,,,250000.0,2,14
,,,324000.0,1,14
,,,,2,14
1950000.0,,,,2,14
,,,,2,14
,,,,2,14
663000.0,,,,1,14
,,,,2,14
2000000.0,,,,2,14
,,,590000.0,1,14
,,,,1,14
,,,,1,14
2300000.0,,,,1,14
,,,500000.0,2,14
1000000.0,,,,2,14
,,,,1,14
,,,,2,14
450000.0,,,,1,14
0.0,,,,2,14
,,,,2,14
,,,,2,14
,,21243.0,,2,14
350000.0,,,,2,14
320000.0,,,,1,14
,,,,2,14
,,,214296.0,2,14
,,,310000.0,1,14
450000.0,,,,2,14
,,,,2,14
,,,,2,14
,,,,2,14
650000.0,,,,1,14
,,,,2,14
,,,,1,14
,,,,2,14
,,,,1,14
,,,,2,14
,,,,1,14
500000.0,,,,1,14
,,,,1,14
,,,,1,14
,,,,2,14
,,,,2,14
,,,,1,14
,,21243.0,,2,14
,,21243.0,,2,14
,,21243.0,,1,14
960000.0,,,,2,14
,,,230000.0,2,14
750000.0,,,,1,14
,,,,1,14
,,,,2,14
40000.0,,,,2,14
,,,250000.0,1,14
,,,,2,14
380000.0,,,,1,14
850000.0,,,240000.0,1,14
,,,214000.0,2,14
,,,,2,14
,,,,1,14
500000.0,,,,1,14
,150000.0,,,2,14
540000.0,,,,1,14
1200000.0,,,,1,14
,,,,2,14
,,,,2,14
2000000.0,,,,1,14
1800000.0,,,,2,14
2800000.0,,,,1,14
,,,,2,14
,,,,2,14
2500000.0,,,,1,14
1000000.0,,,,2,14
,,,,1,14
,,,,2,14
500000.0,,,,2,14
2000000.0,,,,1,14
,,,,1,14
600000.0,,,,1,14
750000.0,,,,2,14
,,,,1,14
,,,,2,14
,,,,1,14
750000.0,,,,1,14
,,,900000.0,2,14
,,,214296.0,1,14
270000.0,,,214296.0,2,14
,,,,2,14
,,,,2,14
500000.0,,,,1,14
,,,,2,14
,,,214296.0,2,14
,,,,2,14
,,,190000.0,2,14
,,,,2,14
,,,,1,14
,,,,1,14
2000000.0,,,,2,14
1000000.0,,,,1,14
,,,,1,14
,,,,1,14
640000.0,,,,2,14
,,,,2,14
,,,,2,14
,,,,2,14
,,,,2,14
500000.0,,,,1,14
,,,,1,14
,,,212000.0,2,14
,,,,2,14
,,,,1,14
,,,,2,14
300000.0,,,,2,14
