y1,y11,y20amonto,y26_2c,y26_1amonto,sexo,region,esc,estrato,oficio1_88,oficio1,y29_2b
400000.0,,,,,2,14,15.0,141011,3.0,3431.0,0.0
330000.0,,,,,2,14,15.0,141011,9.0,9333.0,0.0
,0.0,,,,2,14,2.0,141011,,,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
,,11091.0,,,1,14,,141011,,,0.0
,,11091.0,,,2,14,,141011,,,0.0
96000.0,,,,,2,14,16.0,141011,5.0,5220.0,0.0
70000.0,,,,,2,14,15.0,141011,5.0,5220.0,0.0
,,,,,2,14,,141011,,,0.0
,0.0,,,,1,14,11.0,141011,,,0.0
250000.0,,,,,2,14,12.0,141011,4.0,4211.0,0.0
,,,,,1,14,8.0,141011,7.0,7122.0,0.0
,,,,,1,14,,141011,,,0.0
,,,,,1,14,,141011,,,0.0
280000.0,,,,,1,14,13.0,141011,8.0,8141.0,0.0
280000.0,,,,,1,14,11.0,141011,7.0,7129.0,0.0
300000.0,,,,,1,14,12.0,141011,5.0,5122.0,0.0
150000.0,,,,,2,14,12.0,141011,9.0,9131.0,0.0
270000.0,,,,,2,14,15.0,141011,4.0,4222.0,0.0
,0.0,,,,1,14,12.0,141011,,,0.0
,0.0,,,,1,14,12.0,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,,,,,2,14,12.0,141011,7.0,7214.0,0.0
,0.0,11091.0,,,2,14,11.0,141011,,,0.0
,,11091.0,,,2,14,,141011,,,0.0
,,11091.0,,,2,14,,141011,,,0.0
140000.0,,,,,2,14,16.0,141011,4.0,4211.0,0.0
,0.0,,,,1,14,12.0,141011,,,0.0
500000.0,,,120000.0,,2,14,12.0,141011,4.0,4115.0,120000.0
1200000.0,,,,,1,14,17.0,141011,2.0,2142.0,0.0
99.0,,,,,2,14,17.0,141011,2.0,2445.0,0.0
,0.0,,,,1,14,17.0,141011,,,0.0
,0.0,,,,1,14,16.0,141011,,,0.0
99.0,,,,,2,14,17.0,141011,2.0,2223.0,0.0
,,,,,2,14,15.0,141011,9.0,9113.0,0.0
,,,,,1,14,,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,,,105000.0,,1,14,12.0,141011,1.0,1318.0,105000.0
,0.0,,,,2,14,15.0,141011,,,0.0
300000.0,,,,,2,14,12.0,141011,3.0,3439.0,0.0
,,,,,1,14,14.0,141011,3.0,3112.0,0.0
310000.0,,,,,2,14,,141011,5.0,5122.0,0.0
,0.0,11091.0,,,1,14,10.0,141011,,,0.0
,,11091.0,,,2,14,,141011,,,0.0
,,11091.0,,,1,14,,141011,,,0.0
,,11091.0,,,1,14,,141011,,,0.0
,,11091.0,,,2,14,,141011,,,0.0
,0.0,,,,2,14,,141011,,,0.0
0.0,,,,,1,14,13.0,141011,9.0,9211.0,0.0
0.0,,11091.0,,,1,14,11.0,141011,9.0,9211.0,0.0
,,11091.0,,,1,14,,141011,,,0.0
,,11091.0,,,2,14,,141011,,,0.0
,,,,,1,14,19.0,141011,2.0,2142.0,0.0
1700000.0,,,,,2,14,17.0,141011,2.0,2419.0,0.0
,0.0,,,,1,14,16.0,141011,,,0.0
,0.0,,,,2,14,15.0,141011,,,0.0
,0.0,,,,2,14,11.0,141011,,,0.0
,0.0,,,,1,14,13.0,141011,,,0.0
,0.0,,800099.0,,1,14,12.0,141011,,,800099.0
,,,200000.0,,2,14,3.0,141011,5.0,5122.0,200000.0
,,,,,2,14,15.0,141011,5.0,5141.0,0.0
,,,,,1,14,,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,0.0,,,,1,14,16.0,141011,,,0.0
,0.0,,,104646.0,2,14,11.0,141011,,,104646.0
80000.0,,,,,1,14,10.0,141011,6.0,6113.0,0.0
,0.0,,136000.0,,2,14,11.0,141011,,,136000.0
,0.0,,,,1,14,15.0,141011,,,0.0
1000000.0,,,,,2,14,17.0,141011,2.0,2332.0,0.0
,0.0,,,,1,14,17.0,141011,,,0.0
,,,,,2,14,,141011,,,0.0
