y1,y11,y20amonto,y29_2b,sexo,region,esc,estrato,oficio1
,,,,2,14,8.0,1410714,
,,,,1,14,10.0,1410714,
,,,,2,14,8.0,1410714,5.0
,,,,1,14,12.0,1410714,5.0
300000.0,,,,1,14,16.0,1410714,5.0
,,,,1,14,13.0,1410714,5.0
,,,,2,14,12.0,1410714,
700000.0,,,,1,14,13.0,1410714,7.0
,,21243.0,,1,14,,1410714,
,,21243.0,,1,14,,1410714,
500000.0,,,,2,14,8.0,1410714,8.0
500000.0,,,,1,14,12.0,1410714,8.0
,,,,1,14,9.0,1410714,
,,,,1,14,,1410714,
650000.0,,,,1,14,12.0,1410714,8.0
425000.0,,,,2,14,15.0,1410714,4.0
0.0,,,,2,14,16.0,1410714,9.0
,,,,2,14,15.0,1410714,
,,,,1,14,14.0,1410714,
300000.0,,,,2,14,6.0,1410714,9.0
500000.0,,,,2,14,12.0,1410714,5.0
,140000.0,,,1,14,16.0,1410113,
800000.0,,,,2,14,18.0,1410113,2.0
1200000.0,,,,2,14,17.0,1410113,2.0
-88.0,,,,1,14,15.0,1410113,3.0
-88.0,,,,2,14,17.0,1410113,2.0
,,,500000.0,2,14,15.0,1410113,
,,,241000.0,1,14,0.0,1410113,
2000000.0,,,,2,14,18.0,1410113,2.0
,,,400000.0,2,14,15.0,1410113,
,,,,2,14,18.0,1410113,
1500000.0,,,,1,14,19.0,1410113,2.0
,,,,2,14,15.0,1410113,7.0
700000.0,,,,2,14,17.0,1410113,2.0
2060000.0,,,,2,14,23.0,1410113,2.0
5500000.0,,,,1,14,19.0,1410113,2.0
,,,,1,14,10.0,1410113,
,,,,2,14,,1410113,
7500000.0,,,,1,14,20.0,1410113,1.0
,,,,2,14,25.0,1410113,2.0
,,,,1,14,12.0,1410113,
1500000.0,,,,2,14,17.0,1410113,2.0
,,,,2,14,,1410113,
,,,,2,14,12.0,1410113,
750000.0,,,,1,14,12.0,1410113,7.0
,,,,1,14,13.0,1410113,
,,,,2,14,,1410113,
580000.0,,,,1,14,8.0,1410113,9.0
,,,,2,14,14.0,1410113,
,,,,2,14,,1410113,
,450000.0,,,2,14,17.0,1410113,
900000.0,,,,2,14,15.0,1410113,3.0
1000000.0,,,,1,14,15.0,1410113,3.0
,,,,2,14,,1410113,
,,,,1,14,,1410113,
670000.0,,,,1,14,12.0,1410113,7.0
574000.0,,,,2,14,15.0,1410113,3.0
,,,,1,14,,1410113,
,,,,2,14,,1410113,
500000.0,,,,1,14,8.0,1420126,9.0
500000.0,,,,2,14,12.0,1420126,7.0
,,,,2,14,10.0,1420126,
,,,,1,14,,1420126,
,,,,2,14,12.0,1420126,
,,,214000.0,1,14,2.0,1420126,
,,,214000.0,2,14,0.0,1420126,
,,,,2,14,0.0,1420126,
,,,214000.0,1,14,4.0,1420126,
,,,214296.0,1,14,3.0,1420126,
,,,214296.0,2,14,0.0,1420126,
,,,200000.0,1,14,,1420126,
,,,214000.0,2,14,15.0,1420126,
,,,,2,14,3.0,1420126,
,,,,1,14,12.0,1420126,
,,,214296.0,2,14,5.0,1420126,
,,,214296.0,1,14,8.0,1420126,
,,,230000.0,1,14,8.0,1420126,
,,,,2,14,8.0,1420126,
,,,214296.0,1,14,8.0,1420126,
,,,296294.0,1,14,8.0,1420126,
,,,,2,14,0.0,1420126,
,,,,2,14,12.0,1420111,
750000.0,,,,2,14,16.0,1420111,2.0
,,21243.0,,2,14,,1420111,
650000.0,,,,1,14,8.0,1420111,6.0
550000.0,,,,1,14,12.0,1420111,8.0
400000.0,,,,2,14,8.0,1420111,9.0
,,,,2,14,14.0,1420111,
,,,,2,14,15.0,1420111,3.0
,,,,2,14,4.0,1420111,
620000.0,,,,2,14,17.0,1420111,2.0
650000.0,,,,1,14,15.0,1420111,8.0
,,,,1,14,,1420111,
,,,,2,14,,1420111,
,,,360000.0,1,14,3.0,1420111,
,,,214296.0,2,14,3.0,1420111,
930000.0,,,,2,14,21.0,1420111,1.0
930000.0,,,,1,14,17.0,1420111,2.0
,,,,1,14,,1420111,
,,,,2,14,,1420111,
,,,,1,14,11.0,1420111,9.0
,,,,2,14,5.0,1420126,
520000.0,,,,1,14,6.0,1420126,9.0
500000.0,,,,2,14,12.0,1420126,4.0
500000.0,,,,1,14,7.0,1420126,6.0
,,,,2,14,9.0,1420126,
300000.0,,,,1,14,12.0,1420126,8.0
,,21243.0,,1,14,,1420126,
,,21243.0,,1,14,,1420126,
,,,214296.0,2,14,3.0,1420126,
,,,,1,14,5.0,1420126,
,,,,1,14,8.0,1420126,6.0
,,,214296.0,2,14,6.0,1420126,
,,,214400.0,2,14,5.0,1420126,
,,,,1,14,5.0,1420126,
,,,,2,14,12.0,1410424,
220000.0,,,,2,14,17.0,1410424,5.0
,,,,1,14,,1410424,
,,,,1,14,15.0,1410424,
,,,214296.0,2,14,17.0,1410424,
,,,,2,14,4.0,1410424,
500000.0,,,,1,14,6.0,1410424,6.0
,,,,2,14,9.0,1410424,
,,,,2,14,10.0,1410424,
,,,,1,14,10.0,1410424,
,,21243.0,,1,14,8.0,1410424,
,,21243.0,,2,14,,1410424,
,,21243.0,,2,14,,1410424,
