folio,año,region,expr,tam_hogar,n_personas,edad_prom,edad_max,prop_menores_15,prop_may_65,hay_menores_15,hay_adulto_mayor,edu_nivel_prom,edu_nivel_min,prop_alfabetos,prop_asiste_edu,prop_ocupados,prop_con_contrato,ingreso_sueldos,ingreso_indep,atendido_salud,tipo_vivienda,material_muros,estado_muros,fuente_agua,sist_excretas,tiene_electricid,n_dormitorios,dormitorios_hogar,d_asistencia_esc,d_rezago_esc,d_escolaridad,d_atencion_salud,d_ocupacion,d_seg_social,d_jubilaciones,d_hacinamiento,d_estado_viv,d_serv_basicos,d_contaminacion,d_accesibilidad,d_trato_igual,d_seguridad,pobreza_multi,cod_comuna,comuna,sexo_jefe,edad_jefe,ecivil_jefe,edu_nivel_jefe,edu_curso_jefe,alfabeto_jefe,ocupado_jefe,contrato_jefe,ingreso_jefe,hacinamiento_idx,ingreso_total_hogar,ingreso_percapita,idx_educacion,idx_vivienda,idx_composicion,idx_ingresos
1410110010201.0,2017,14,46,3,3,54.66666666666666,79,0.0,0.3333333333333333,0,1,10.666666666666666,6,1.0,0.0,0.3333333333333333,1.0,730000,0,0.0,3,1,2,1,1,1,3.0,3.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,40,8,13,3.0,1,2,1.0,400000.0,1.0,730000,243333.3333333333,0.5637768472168742,0.31960784313725493,0.3555555555555555,0.6005203266712374
1410110020101.0,2017,14,106,3,3,16.333333333333332,41,0.6666666666666666,0.0,1,0,5.0,2,1.0,0.6666666666666666,0.0,0.0,0,0,0.0,1,3,1,2,1,2,2.0,2.0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0,1.0,0,0,0.0,14101,Valdivia,2,41,5,9,4.0,1,2,0.0,0.0,1.5,0,0.0,0.5189548303598169,0.3898342670401494,0.25555555555555554,0.8487948064505133
1410110020201.0,2017,14,103,1,1,28.0,28,0.0,0.0,0,0,14.0,14,1.0,1.0,1.0,1.0,96000,0,1.0,2,3,1,1,1,2,2.0,2.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,28,8,14,4.0,1,1,1.0,96000.0,0.5,96000,96000.0,0.3015939866512643,0.34104808590102714,0.0,0.50739831082431
1410110020301.0,2017,14,111,3,3,24.33333333333333,44,0.3333333333333333,0.0,1,0,9.666666666666666,7,1.0,0.6666666666666666,0.5,0.0,70000,0,0.0,2,2,2,2,1,2,2.0,2.0,0,1.0,1.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,1,0,1.0,14101,Valdivia,2,44,7,13,3.0,1,1,3.0,70000.0,1.5,70000,23333.33333333333,0.44539372352714673,0.3690009337068161,0.17222222222222222,0.7570944498726101
1410110020401.0,2017,14,139,4,4,20.75,35,0.5,0.0,1,0,6.5,3,1.0,0.5,1.0,1.0,250000,250000,0.25,1,3,2,1,1,1,2.0,2.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,32,2,9,4.0,1,1,1.0,250000.0,2.0,500000,125000.0,0.5315989603388526,0.3933940242763772,0.2583333333333333,0.49900462842038545
1410110020501.0,2017,14,203,2,2,43.5,51,0.0,0.0,0,0,10.0,9,1.0,0.0,1.0,1.0,560000,0,0.0,1,3,1,1,1,1,4.0,4.0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,51,8,11,5.0,1,1,1.0,280000.0,0.5,560000,280000.0,0.5380246438197921,0.33965919701213815,0.04444444444444444,0.49299356838135616
1410110020601.0,2017,14,123,6,6,25.83333333333333,49,0.1666666666666666,0.0,1,0,9.666666666666666,7,1.0,0.3333333333333333,0.6,0.6666666666666666,720000,0,0.0,1,3,2,2,1,1,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,42,1,9,4.0,1,1,9.0,300000.0,1.5,720000,120000.0,0.5077520001711376,0.38844537815126046,0.2638888888888889,0.6044809722951311
1410110020701.0,2017,14,106,4,4,20.25,38,0.5,0.0,1,0,8.0,7,1.0,0.75,0.5,0.0,0,200000,1.0,7,3,2,1,1,2,1.0,1.0,0,0.0,0.0,0.0,0,1.0,0,1.0,1.0,0.0,0,0.0,1,0,1.0,14101,Valdivia,2,38,5,9,4.0,1,1,0.0,0.0,4.0,200000,50000.0,0.4435486458734437,0.4256886087768441,0.2583333333333333,0.7623437574994645
1410110020801.0,2017,14,86,1,1,21.0,21,0.0,0.0,0,0,14.0,14,1.0,1.0,1.0,1.0,140000,0,0.0,1,3,2,1,1,1,11.0,11.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,21,8,14,4.0,1,1,1.0,140000.0,0.0909090909090909,140000,140000.0,0.3015939866512643,0.2532870724047194,0.0,0.5044902090918534
1410110020901.0,2017,14,159,1,1,59.0,59,0.0,0.0,0,0,9.0,9,1.0,0.0,0.0,0.0,0,0,0.0,1,1,3,1,1,1,2.0,2.0,0,0.0,0.0,0.0,1,0.0,0,0.0,1.0,0.0,0,0.0,1,0,0.0,14101,Valdivia,1,59,5,9,4.0,1,2,0.0,0.0,0.5,0,0.0,0.5445706584520601,0.3202147525676938,0.0,0.8487948064505133
1410110021001.0,2017,14,135,6,6,43.16666666666666,66,0.0,0.1666666666666666,0,1,13.833333333333334,9,1.0,0.1666666666666666,0.6666666666666666,1.0,1700198,0,0.1666666666666666,1,3,1,1,1,1,4.0,4.0,0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,66,1,9,4.0,1,1,1.0,500000.0,1.5,1700198,283366.3333333333,0.5015937192487058,0.3606676003734828,0.45555555555555555,0.5331998904300287
1410110021101.0,2017,14,98,3,3,20.33333333333333,40,0.6666666666666666,0.0,1,0,9.0,7,1.0,0.6666666666666666,1.0,0.0,0,300000,0.0,1,3,2,2,1,1,5.0,5.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,40,6,13,3.0,1,1,0.0,0.0,0.6,300000,100000.0,0.4474901595858469,0.3584267040149393,0.25555555555555554,0.6766939905996976
1410110021102.0,2017,14,94,3,3,53.66666666666666,66,0.0,0.6666666666666666,0,1,10.666666666666666,9,1.0,0.0,0.6666666666666666,1.0,300000,400000,0.0,1,3,1,2,1,1,5.0,5.0,0,0.0,0.0,0.0,0,1.0,1,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,66,1,9,4.0,1,1,0.0,0.0,0.6,700000,233333.3333333333,0.5393295683053095,0.3584267040149393,0.4222222222222222,0.5583373472430543
1410110021401.0,2017,14,112,7,7,17.714285714285715,34,0.5714285714285714,0.0,1,0,21.428571428571427,7,1.0,0.7142857142857143,0.6666666666666666,1.0,310000,650000,0.7142857142857143,1,9,3,1,1,1,2.0,2.0,0,0.0,0.0,0.0,0,1.0,0,1.0,1.0,0.0,0,0.0,0,0,1.0,14101,Valdivia,1,29,2,14,2.0,1,1,0.0,0.0,3.5,960000,137142.85714285713,0.3987694134257476,0.5499066293183941,0.4095238095238095,0.5591688768245838
1410110021501.0,2017,14,98,5,5,20.2,50,0.4,0.0,1,0,26.4,3,1.0,0.8,0.6666666666666666,1.0,0,0,0.6,1,3,2,1,1,1,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,50,5,99,99.0,1,2,0.0,0.0,1.25,0,0.0,0.2659591194968554,0.3554154995331466,0.2777777777777778,0.5710170286727357
1410110021701.0,2017,14,96,4,4,37.25,53,0.0,0.0,0,0,15.0,14,1.0,0.5,0.5,1.0,1700000,1200000,0.0,1,3,1,1,1,1,5.0,5.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,53,2,17,7.0,1,1,0.0,0.0,0.8,2900000,725000.0,0.3766806250802208,0.3348506069094304,0.13333333333333333,0.5535879299936369
